date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.33782320283912504,620.1188197101512,727.6590520730695,903.4114584803486,950.7077207892698,1294.0846652257894,2007.0120159824537,2099.688669645256,2316.0410732749674,2324.591518130375,2377.947655919244,1806.0140488851198,1287.1796998781667,344.4592772791365,1194.372650778323,2.422932094722383e-05,0.00036649551,0.036046260010969645,0.0001725202950703139,0.11651128737364919,0.6910591711798146,14.88,9.89,72.06,0.0,99276.97,0.36,277.63,0.0,0.1477,-0.001594,16287044.0,25675930.0,2.4068,2.1401,222.28,0.3047192331091634,0.9524422234305676,chitwan
2026-01-19,0.344678619995515,625.8485377154343,711.9971842889022,904.1021315985831,963.3385696353764,1292.82768864536,1991.2287342152383,2127.7283042176377,2290.041998690293,2328.032438602716,2344.6484115376084,1818.2888990225952,1252.352977198575,362.63269302332725,1449.1411568308115,2.2101890087155166e-05,0.00030522505,0.036557643651552424,0.00020416015120183984,0.120779737146617,-0.008224344359252234,15.91,11.95,77.33,0.0,99287.11,0.46,306.81,0.0,0.1465,-0.001535,16121900.0,26674132.0,2.4072,2.1428,217.76,0.321057654185271,0.9470596510722284,chitwan
2026-01-20,0.40014291672776564,564.7323690507934,702.2768373674669,892.0207460708879,954.5293164613183,1292.6547536469411,1998.4630625139691,2193.203999723324,2312.377927628162,2370.3171400955475,2364.2768053519403,1812.6146337732953,1300.2872646499034,364.5977489107198,1442.8451970253382,2.7588756194910523e-05,0.0007057579,0.03756745533940615,0.00015081498346340634,0.12175940492736956,-0.42941331511808706,17.72,12.08,69.51,0.0,99413.2,0.43,324.02,0.0,0.1452,-0.0017,16589580.0,25954892.0,2.4076,2.1455,252.31,0.3373010691361842,0.9413968285264122,chitwan
2026-01-21,0.28901059381769617,600.6509126471526,723.4589976784742,920.0902364694713,970.2214157640884,1300.3166967778427,1999.3729286406458,2186.1884367319867,2310.048184359224,2359.7747963466295,2380.5149925506794,1811.557338203161,1258.6140669994968,375.6692331096211,1498.881976546567,2.1734285590068642e-05,0.0007057579,0.033255403424090654,0.00017019271401513597,0.12330693767800895,-0.3638813668587302,16.93,12.22,73.77,0.0,99507.94,0.19,318.45,0.0,0.144,-0.001567,16439868.0,26467732.0,2.4079,2.1481,264.27,0.3534446712740877,0.9354554315134164,chitwan
2026-01-22,0.6682862834005511,639.7051539189226,760.7811326083389,953.1396191143803,1015.498588662631,1340.2445699649304,2003.687541519673,2168.1588477804266,2348.354153192502,2351.8148214436396,2392.6361651159805,1846.9960619703675,1326.0450492691616,382.3713989748474,1408.1915813569624,2.86465306469204e-05,0.0009542499,0.04287577676991776,0.00036092023055886685,0.11893913392592514,0.14569654671968102,16.2,11.56,74.0,0.0,99645.22,0.13,179.77,0.0,0.143,-0.001485,16000888.0,26673938.0,2.4083,2.1508,286.86,0.3694836834473831,0.9292372181882051,chitwan
2026-01-23,0.5564231899362123,625.8485377154343,734.1812486362948,907.3764725202338,957.0880774828339,1293.683913755339,2064.2740838549485,2247.2556738377584,2350.4218648288065,2389.912694401388,2413.116127406364,1791.3149394651325,1269.4065909584795,376.1310071913507,1344.4455671852327,2.52373079767927e-05,0.00027853766,0.050141401079504044,0.00018844348225197135,0.11553548717050484,0.8707829511510521,16.67,10.79,68.24,0.0,99827.5,0.44,229.45,0.0,0.142,-0.001615,15701980.0,26668263.0,2.4086,2.1535,281.43,0.3854133594543256,0.9227440286201428,chitwan
2026-01-24,0.5207927025627394,658.7547127928212,760.7811326083389,933.4057164545023,1001.5713244779218,1304.1733982747994,2052.5834529015965,2228.684440633877,2310.66986544894,2358.5811924993627,2380.5667898510346,1783.2309192385696,1266.4657790148262,365.0112202868049,1435.0464705083898,2.2185219429577632e-05,0.0007302168,0.04520251300382676,0.0002928139834312241,0.12439366720252164,0.8915290731920034,16.75,12.32,75.08,0.13,99736.37,0.7,306.03,0.0,0.1422,-0.00125,12291756.0,27622483.0,2.4089,2.156,188.43,0.4012289854475009,0.9159777842484876,chitwan
2026-01-25,0.28494492887160766,655.2533583104239,760.7811326083389,930.5386089811141,974.7113650078558,1297.8184949359163,2008.9167975733114,2185.8266701134085,2295.9746232137136,2349.2276032715035,2353.5201474938603,1799.616555745129,1268.7583477802361,364.69525881437113,1448.3352833302315,2.52373079767927e-05,0.00067193183,0.03575100032277514,0.00017019271401513597,0.1294369861368309,0.07689701072686783,17.26,11.81,70.33,0.0,99582.84,0.71,355.86,0.0,0.1414,-0.00157,15933260.0,26263079.0,2.4093,2.1587,249.86,0.4169258813287287,0.908940487313808,chitwan
2026-01-26,0.4319657249031546,660.5405748465071,778.3339738445178,943.9723748191583,986.7978807486913,1282.1402905088862,2040.8420308746893,2229.3188041836665,2401.561855225607,2381.277083172979,2420.139898054515,1776.592134381696,1264.9908118984758,397.9634761907221,1332.4566366266538,2.0460771380689437e-05,0.0004710814,0.036254685086699906,0.00016383795821065005,0.11832913125933324,-0.26848025830847716,16.13,11.24,72.79,0.0,99754.36,0.55,342.0,0.0,0.1404,-0.001619,17106020.0,25845429.0,2.4097,2.1614,275.04,0.4324994021339788,0.901634220265486,chitwan
2026-01-27,0.3694069064352822,699.6101962149157,770.772337721482,960.8904485176886,999.2826692310151,1328.245950723048,2054.7633248534094,2226.8889948281053,2309.8962691729294,2368.772585319968,2389.9371203408964,1805.7862584966879,1327.3584824761263,394.5408386913104,1486.3940474525673,2.3221947742486216e-05,0.0004710814,0.03980686964388345,0.0002069880371390649,0.11853188055644383,-0.23662972125279375,16.7,11.94,73.54,0.3,99777.7,0.14,267.97,0.0,0.1396,-0.001594,16676024.0,27141970.0,2.41,2.1641,245.79,0.4479449394078911,0.8940611451454876,chitwan
2026-01-28,0.6105480363786998,811.6009792404307,843.4964933924559,1006.5421549662283,1062.5755763415232,1364.1776867033377,2035.2405017370488,2186.3181122309684,2374.5717334743226,2356.935888801217,2406.4863628338953,1840.4443736867256,1341.5961476402433,373.98855408694686,1593.185756375439,2.1779153592837968e-05,0.0010949539,0.03980686964388345,0.0002928139834312241,0.12056405302586311,-0.5095767963511155,15.96,12.89,82.04,1.15,99678.17,1.11,280.88,0.0001,0.1502,-0.001164,9600948.0,28604075.0,2.4104,2.1668,226.84,0.4632579225674917,0.88622350294858,chitwan
2026-01-29,0.22055764718655851,413.400927241538,529.7917041697059,717.2263151089514,673.1191171254306,1091.3321676444305,1783.0041982443156,1997.2629379657865,2100.371102720898,2169.3081491734206,2184.0922805652203,1764.5627085914339,1201.8549186844457,227.99653175337613,1586.4382964588872,1.6539721550433723e-05,0.00027853766,0.03386902557282813,0.0001473680179049318,0.12461427330233614,0.21300163656389615,17.36,12.27,72.06,0.0,99610.23,0.75,357.68,0.0,0.1498,-0.001718,17080600.0,26450536.0,2.4108,2.1694,325.16,0.4784338202547012,0.8781236129591848,chitwan
2026-01-30,0.3747324538496999,657.5237123824907,771.0461748312639,937.0811569021345,988.8928984629259,1304.1733982747994,2089.561396947554,2242.0434710834606,2412.450507853416,2366.9012484121326,2309.1367694307614,1774.4906285526927,1268.2854762592249,442.99059194985364,1523.225890600959,2.3221947742486216e-05,0.0004710814,0.044839803115707615,0.0001800055749914872,0.12439366720252164,0.6122334404002712,15.74,12.46,80.88,0.0,99719.68,0.42,25.11,0.0,0.1477,-0.001441,16257416.0,27061411.0,2.411,2.1721,288.58,0.4934681416772373,0.8697638720650646,chitwan
2026-01-31,0.536471282526188,654.1089271746869,760.7811326083389,922.2120879475665,980.5655961959072,1295.805704962036,2109.1016886117964,2220.4884122202307,2395.9870717225294,2375.511397363104,2340.248084594892,1788.2266265064154,1307.300304033566,406.9797482928466,1499.3335617487473,1.6105482781412723e-05,0.0004710814,0.0441386442795888,0.0001957673055152305,0.12776666042144094,-0.9979984358406342,15.52,11.69,77.93,0.0,99811.79,0.27,328.85,0.0,0.146,-0.00137,14286584.0,27570954.0,2.4114,2.1747,280.76,0.5083564379375122,0.8611467540480452,chitwan
