date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.22588283519279637,790.0692071135609,879.6184863022214,1019.9027382899404,1132.9585273972314,1343.37657497566,1506.174306202118,1612.753056672395,1697.4486183518732,1733.6997417546363,1713.2912764925297,1968.7530956767475,1738.4148920446848,137.4459331392611,874.1763952289145,6.85081837855865e-05,0.00033055033,0.035430491729244645,0.00030516161989227654,0.114635035567286,0.7747009,10.98,5.47,68.8,0.0,83758.22,0.7,52.14,0.0,0.1624,-0.001266,16692680.0,23830406.0,2.1376,2.8714,226.61,0.3047192331091634,0.9524422234305676,kathmandu
2026-01-19,0.22263151773586493,773.8610783866844,861.9816472194842,1011.2613010603992,1160.8757269758562,1345.3262408605458,1503.4767272868387,1626.4619621243273,1675.1407131746696,1720.0372591347368,1698.8635801389353,1955.0982064097495,1770.5517662543411,161.46078252454456,940.4050452033669,3.8707086437488407e-05,0.00027436225,0.03036279165212846,0.00022162171268073466,0.11879888409454688,0.4631805,10.88,6.03,72.01,0.0,83797.19,0.63,9.0,0.0,0.1604,-0.001239,16719868.0,23770144.0,2.1391,2.872,285.15,0.321057654185271,0.9470596510722284,kathmandu
2026-01-20,0.18739844860767665,732.0522836936511,839.6036500605852,999.9674603996835,1167.7014871362899,1345.3262408605458,1525.1667881592398,1639.6736653156356,1702.1660486573933,1757.3276230057277,1731.2267018895818,1970.0436868792663,1784.4806997252965,161.2819151191862,933.9261581797454,4.777586814249035e-05,0.00027436225,0.029100866632724955,0.00010958156168623045,0.12011163271413097,0.4631805,10.63,3.29,60.47,0.01,83922.2,0.8,4.42,0.0,0.1584,-0.001301,16648372.0,23552472.0,2.1407,2.8727,407.28,0.3373010691361842,0.9413968285264122,kathmandu
2026-01-21,0.18037833802290823,777.9453882087817,838.2992999141118,983.487492631197,1141.3262716038544,1319.7610053001201,1514.1544323958858,1588.8217138550299,1673.2142820706113,1686.8912999211661,1679.6400111145776,1955.3331314690547,1700.1622112540504,130.9348085427905,472.91099573121284,0.00010800295506682206,0.00027436225,0.034803791972534054,0.00030718145767757814,0.12018999610336432,0.51706594,10.28,4.84,68.97,0.0,83969.48,0.68,36.06,0.0,0.1565,-0.001246,16866528.0,23567810.0,2.1423,2.8733,295.23,0.3534446712740877,0.9354554315134164,kathmandu
2026-01-22,0.23823206447159045,824.7008910985977,916.5444338536124,1088.7298291238046,1227.5585821974469,1431.33441451904,1593.5499307545329,1686.3408204780687,1779.8647587289634,1815.977837760763,1784.9128980055275,2107.3762124666023,1861.237359441397,154.54400282805898,954.8843976409671,5.872826030490297e-05,0.00033055033,0.030507486975989512,0.0001292919406174995,0.11994376375999645,0.27971226,10.11,6.58,78.67,0.01,84071.26,0.68,73.59,0.0,0.1552,-0.001085,15093640.0,25187576.0,2.1437,2.8739,271.49,0.3694836834473831,0.9292372181882051,kathmandu
2026-01-23,0.3683213267041026,864.6324148208063,934.2866193825014,1080.7703290370828,1219.390957321677,1386.8063698625551,1594.3357184256856,1703.675087740713,1743.326885128097,1839.1492188845466,1820.7654151401205,2066.101246856715,1821.3614503704935,173.58792693941547,998.2047200653881,5.8342306986136284e-05,0.00027436225,0.03515718615895557,0.00015432934228445998,0.11524936769499336,0.67083424,9.99,6.29,77.79,0.73,84263.42,0.37,86.73,0.0001,0.1572,-0.000888,11394320.0,27122713.0,2.1453,2.8746,236.38,0.3854133594543256,0.9227440286201428,kathmandu
2026-01-24,0.3717320554253665,829.5381534880788,907.9454247295665,1063.6836840606863,1207.2901182196913,1360.9863573151006,1585.7596404346257,1686.691965338964,1750.0906983849873,1813.576108710545,1798.4391387788141,2030.717588333185,1782.0511718413397,160.29253553052686,931.7816048652322,5.471743884991277e-05,0.00041737818,0.04396022065080123,0.0001618296657560829,0.11944945336464512,0.5897995,10.53,5.35,70.34,0.05,84186.74,0.57,345.04,0.0001,0.1612,-0.000946,10918008.0,25443437.0,2.1468,2.8752,238.75,0.4012289854475009,0.9159777842484876,kathmandu
2026-01-25,0.24346448086346228,831.5645096902713,905.3735028601267,1049.3479519002967,1202.3094134286666,1369.838055109489,1547.1176115340586,1658.4796948557412,1719.493171431009,1789.3172552738322,1768.0430788704216,2025.28552643111,1815.5304196689865,170.76343016237195,897.4528619873072,6.07330020311107e-05,0.00027436225,0.036392822723991004,0.0002899430831296653,0.12718005645705951,0.4631805,10.4,4.67,67.63,0.0,84033.71,0.57,25.68,0.0,0.1595,-0.001183,15957724.0,23897917.0,2.1484,2.8758,322.08,0.4169258813287287,0.908940487313808,kathmandu
2026-01-26,0.22613217999318885,758.558282654853,882.5819394215074,1010.3912163096109,1152.91235631709,1323.7333891085425,1498.2196544756805,1602.4724152864837,1656.0022500400446,1680.904878868884,1681.0118114349511,1950.9483874048597,1775.2192900788302,187.24919390645087,612.2404663585876,8.617281940726535e-05,0.0005983178,0.030335714774564485,0.00028959082746797543,0.1182549330091831,0.5897995,10.39,4.25,65.73,0.0,84176.9,0.48,25.17,0.0,0.1567,-0.001308,17558400.0,23482231.0,2.15,2.8764,289.68,0.4324994021339788,0.901634220265486,kathmandu
2026-01-27,0.17483904929585783,844.9247124671701,909.7271101862827,1063.4840880812442,1190.5195080399028,1409.675954441636,1584.2414183000226,1696.5004086592785,1791.6236863464246,1842.3284208674008,1826.4422843997693,2160.9627515513184,1860.4490298389803,161.99028206362203,963.5726005744701,0.00012770491487156693,0.00067798625,0.036465892744491586,0.0002818916978133316,0.11844841720288127,0.34549376,11.58,5.5,66.26,0.0,84225.33,0.76,63.3,0.0,0.154,-0.001299,17171076.0,24864696.0,2.1514,2.877,244.74,0.4479449394078911,0.8940611451454876,kathmandu
