date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-20,0.24017209690257438,670.0543125546075,757.6510678235056,894.439449209174,931.9341988224983,1246.3849083679295,1589.0444510997281,1947.8800917613805,2034.980428354228,1958.9238358021694,2261.23389224419,1755.7168781895436,1356.891718196722,282.87199084413834,1089.6540092569248,3.4068803122292086e-05,0.00018821123,0.03354939494380358,0.00021489832981125932,0.12007054246575309,0.03411294027320966,13.83,8.89,72.1,5.53,90484.9,0.34,287.01,0.0003,0.3818,-0.001487,13626040.0,22682590.0,2.4646,1.9932,129.12,0.3373010691361842,0.9413968285264122,pokhara
2026-01-21,0.23733147454175604,680.3304965646006,775.5009439395624,914.2193219313685,957.4034067912705,1271.3298517739718,1589.332018150041,1962.3020986251931,2037.7062988392072,2004.020920934121,2264.9572273712615,1841.4841532844537,1380.8034456083317,272.0136791401394,1096.384020762438,3.072569368160071e-05,0.00063975534,0.03160765924076106,3.4384862639298143e-05,0.12273172905925318,0.07770811983311954,14.07,8.89,71.01,0.86,90539.53,0.02,339.95,0.0002,0.3744,-0.00171,15825552.0,22772988.0,2.4647,1.996,165.87,0.3534446712740877,0.9354554315134164,pokhara
2026-01-22,0.2927478305059171,707.1499208881519,804.2944532459879,962.528330472814,1025.8212854511576,1323.7111915051703,1617.44095691762,1959.1524191055873,2026.4892317275444,2000.3697857644945,2232.5520565150405,1908.4833567620842,1469.9074939708435,278.5970101173581,1067.4612790833526,3.443819534599526e-05,0.00018821123,0.0333753440523902,0.00012121920673933741,0.11538090917262976,-0.35511145385233034,14.03,9.25,72.94,0.96,90636.6,0.09,41.19,0.0001,0.3699,-0.001489,14421096.0,22926122.0,2.4648,1.9988,145.41,0.3694836834473831,0.9292372181882051,pokhara
2026-01-23,0.339845178933504,698.0460393088542,790.5941899685122,920.794612772681,991.5440357701386,1284.483968598059,1588.3554986345666,1949.7601890391786,2024.0002674600328,2026.670465367365,2284.4994914989966,1863.5025743455992,1417.0655427004074,273.7394651284824,984.2724752929149,2.1895399369694412e-05,0.00063975534,0.036309368414005935,0.00024158062146238419,0.11540282418523565,0.8970837353808137,12.43,7.07,69.83,0.67,90867.05,0.51,286.97,0.0001,0.3639,-0.001715,15778124.0,23445607.0,2.4651,2.0016,177.08,0.3854133594543256,0.9227440286201428,pokhara
2026-01-24,0.45476369311287634,368.3030527591657,447.13538500422777,646.1997027810661,628.5212871091893,961.5067176946411,1588.3554986345666,1831.0991995148433,2045.1635071093303,2094.0670595178203,1827.4616764851787,1873.34872559184,1320.430417285275,631.2325293843792,535.9845381087264,2.584153427692822e-05,0.00073910103,0.03627590423104159,0.00012033975539980553,0.12566827105736922,0.700795331493405,12.47,6.17,65.48,0.78,90808.7,0.78,280.45,0.0002,0.3616,-0.00129,11335352.0,23380383.0,2.4652,2.0044,164.58,0.4012289854475009,0.9159777842484876,pokhara
2026-01-25,0.339845178933504,724.9050891491931,807.7334656720082,935.1694192907779,1017.3500971141119,1299.3377316929043,1588.3554986345666,1965.9498868382602,1986.115853202717,1986.9880653721386,2278.749519002557,1825.6156125587656,1424.7925665258863,271.87148006717746,926.537820196877,2.584153427692822e-05,0.0002953317,0.03811900094463862,9.309011027850369e-05,0.13018807915120054,-0.061384471539696284,11.04,5.75,69.87,1.03,90656.26,0.76,280.47,0.0002,0.3598,-0.00132,12257512.0,21846681.0,2.4654,2.0072,140.35,0.4169258813287287,0.908940487313808,pokhara
2026-01-26,0.29987367553787814,701.907055923166,804.990086215203,942.0722397655358,1015.6987687567572,1290.462104015318,1588.3554986345666,1956.586756416145,2005.8364431690775,1968.6915300868366,2302.649540880477,1870.0117456143244,1380.472750121032,279.356060594947,914.5220593290364,2.1895399369694412e-05,0.00040960894,0.03215663881708413,0.00017124976840712878,0.11513432588943642,0.07770811983311954,12.28,6.07,65.83,0.0,90782.4,0.49,282.51,0.0001,0.3562,-0.00202,17319776.0,21343565.0,2.4656,2.01,179.08,0.4324994021339788,0.901634220265486,pokhara
2026-01-27,0.31024597985269703,762.7977228099674,815.9481669007188,962.7820360515453,1041.9708663101796,1309.5804591622766,1594.1536664165578,2034.7749334750065,2046.7411575066635,2030.8331772689348,2305.5913232541043,1942.846074952546,1456.3367641099042,288.04656488626216,1053.5887742609025,3.12661542453084e-05,0.00040960894,0.03429918251045396,0.0003850157428401535,0.1160851911317888,-0.010563647304625334,14.25,7.76,64.98,2.37,90812.12,0.29,286.1,0.0001,0.3491,-0.002031,17412828.0,23689904.0,2.4657,2.0127,170.15,0.4479449394078911,0.8940611451454876,pokhara
2026-01-28,0.3933658621354038,784.9182564902484,830.0477198364897,977.0807862639365,1070.0766454734032,1374.7002106523796,1636.6866093667059,1991.320648702982,2043.6504463225947,2004.1460878706118,2299.9246488051576,1940.0995269932466,1449.560056334487,305.1212561323814,1069.1555091616979,2.8288658115743716e-05,0.00040960894,0.04019598858641327,0.00012615065151897457,0.1184536207765157,-0.5280285746506255,13.03,9.21,77.61,10.49,90745.05,0.49,264.49,0.0004,0.4041,-0.000441,5459676.0,25661525.0,2.4659,2.0155,97.29,0.4632579225674917,0.88622350294858,pokhara
2026-01-29,0.12216191023477362,1471.4260919515361,1417.8944732235805,1436.0799323591586,1321.8370717068549,1604.284053662641,2550.017613743634,2734.573644875262,2767.658024979572,2811.96761096123,2772.954084179227,2467.157072493947,1925.3276208747943,197.65451653477896,1130.3087002656307,1.9726810795651274e-05,0.00040960894,0.03048705299527205,0.00014836723080384137,0.1248143723458261,-0.08437359357233176,13.25,7.26,67.05,2.69,90641.94,0.25,260.56,0.0003,0.392,-0.001991,16918884.0,22325482.0,2.4661,2.0183,194.07,0.4784338202547012,0.8781236129591848,pokhara
2026-01-30,0.10870764640648582,632.9170049409539,774.0153925167184,916.3536705250007,972.3377572055002,1273.6159223050881,1598.414539238413,2019.64893046507,2026.453983941568,2009.7327857672185,2340.0947471316836,1875.2906545509668,1375.5625327051696,292.2747147384667,1009.407858499976,2.319442359523721e-05,0.00040960894,0.031540609908512506,9.309011027850369e-05,0.12525696187563384,0.2563840704947906,14.1,7.12,62.79,0.0,90690.39,0.28,198.27,0.0001,0.3809,-0.002056,17463732.0,22294451.0,2.4662,2.0211,171.06,0.4934681416772373,0.8697638720650646,pokhara
2026-01-31,0.2512017255388208,576.944340841917,746.7499005855153,904.0525139118002,991.7785505659189,1298.6828345349402,1588.3554986345666,1979.6046964954667,2023.3896757213718,2000.8720464168741,2322.4468121501613,1880.318563686803,1433.5257710060393,274.65654658417935,841.4363187585435,2.9473077835414872e-05,0.0005371534,0.03699401645874024,0.00019332001409792788,0.12566827105736922,-0.954761646867611,11.84,5.23,63.92,0.01,90811.04,0.56,267.9,0.0,0.37,-0.001693,14724224.0,21935070.0,2.4663,2.0238,131.17,0.5083564379375122,0.8611467540480452,pokhara
2026-02-01,0.24889108521949332,635.2347019670475,765.6586651329686,932.4055819390094,963.3040502295343,1264.7319424800958,1588.3554986345666,2002.1457660675146,2019.6071180519382,1963.597730274144,2357.794804701656,1888.6177162352676,1359.4722037568285,283.3964097465099,848.4229181820489,3.59761380603675e-05,0.00040960894,0.033291366201889966,0.0001842024110860719,0.1317204006500285,-0.824534279350924,11.22,5.3,66.95,0.0,90834.11,0.67,270.45,0.0,0.361,-0.002239,18093924.0,21392953.0,2.4665,2.0267,172.72,0.5230943033491326,0.8522748088519838,pokhara
2026-02-02,0.21413320145287468,647.5879616960141,769.4448198117402,947.7581072873843,950.3642478494635,1267.7859931638986,1588.3554986345666,2029.0419891125289,2056.7889432628745,1961.9499469662842,2341.316353274063,1875.2906545509668,1388.0567475690816,292.6904804762236,909.5665769449879,2.4417760026262073e-05,0.00018821123,0.036058626787964655,0.00029479277493869426,0.13282835183897293,-0.3095565856391199,12.52,6.57,67.07,0.06,90771.71,0.6,260.16,0.0,0.3537,-0.002115,17628692.0,21743582.0,2.4667,2.0295,186.36,0.5376773767406141,0.8431506618282,pokhara
2026-02-03,0.4419741426830026,739.1728578081891,821.8322282330627,983.5219169845823,980.6913571795067,1290.1924105524408,1589.0444510997281,1995.9031614907847,2043.261708462819,1986.2686482910171,2298.2335636905773,1886.7940922784712,1450.8802029414057,300.3048383936718,914.5220593290364,2.608692906528901e-05,0.00035675074,0.03844273602360678,0.00019752421576367985,0.12856010914099067,0.03411294027320966,11.15,6.42,72.62,2.78,90948.31,0.85,275.34,0.0002,0.3629,-0.000973,9943284.0,23905498.0,2.4668,2.0322,133.69,0.5521013427459208,0.8337770129585915,pokhara
2026-02-04,0.16490534516834268,642.8788254750292,765.6088336776236,901.3419104396028,897.0573476785365,1203.2784774831016,1588.3554986345666,1979.6046964954667,2005.4559914415122,1978.3680837070006,2310.906988495029,1823.2705194547764,1374.3055406278177,292.2747147384667,936.9368983296838,1.1741769727020503e-05,0.00018821123,0.03215663881708413,0.00011712736691808392,0.12525696187563384,0.04864645614307084,11.52,5.99,68.81,1.04,90781.86,0.63,271.23,0.0002,0.3617,-0.002254,17627976.0,21486742.0,2.467,2.035,219.16,0.5663619330814524,0.8241566360566663,pokhara
2026-02-05,0.16980151094939117,604.3529853226926,730.1060131113085,887.7759873968484,869.0088914811348,1198.7211882358731,1588.3554986345666,1998.1746001028505,2053.1958906446225,1958.6004816402024,2315.143921445833,1838.3268822103448,1354.2801284525121,297.1713015471166,990.6802218582139,2.3914002475868514e-05,0.00035675074,0.03048705299527205,0.0001316024110319264,0.12171066030004335,0.07770811983311954,13.05,7.3,68.1,0.01,90674.12,0.39,233.97,0.0001,0.3559,-0.002136,17803408.0,21887130.0,2.4672,2.0378,190.82,0.580454927809098,0.8142923779467267,pokhara
2026-02-06,0.27663271799988354,581.8762456149391,718.9105465013189,882.7260247174052,863.7170541654614,1220.1407217145575,1600.004854601263,1981.5194312256388,2035.8581782605843,1994.6153905025853,2302.7652108695297,1868.6977143498489,1390.0743632524498,305.0928693130668,969.0352225088011,2.5619235653518807e-05,0.0002953317,0.035786046493671286,0.00021642867724554378,0.12470691328946057,-0.9093872014442165,13.74,7.71,66.95,0.11,90569.91,0.27,212.01,0.0,0.3474,-0.001758,16080252.0,22803744.0,2.4673,2.0407,180.82,0.5943761565849831,0.804187157621448,pokhara
