date,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos
2000-01-01,16.22,10.95,70.96,0.0,99681.07,0.64,290.25,0.0,0.1443,-0.001385,13737016.62,26325850.9,2.5004,2.323,333.28,0.017201575418260506,0.9998520419557735
2000-01-02,16.46,10.45,67.61,0.0,99586.35,0.66,308.98,0.0,0.1431,-0.001573,14834635.3,26062709.56,2.4996,2.317,264.69,0.03439806061360801,0.9994082116062598
2000-01-03,16.48,11.67,73.24,0.0,99396.9,0.59,333.26,0.0,0.1418,-0.001475,15014577.35,25979190.98,2.4987,2.3111,257.72,0.051584366869408364,0.9986686402879997
2000-01-04,15.96,11.9,76.8,0.0,99500.97,0.43,338.77,0.0,0.1408,-0.001383,15101506.22,25871313.49,2.4979,2.3051,270.9,0.06875540848113941,0.9976335468520451
2000-01-05,15.65,11.41,75.85,0.0,99482.37,0.48,356.18,0.0,0.14,-0.001347,14637683.47,26126438.08,2.4971,2.2991,241.85,0.08590610426133272,0.9963032375991965
2000-01-06,14.8,10.82,77.07,0.0,99402.63,0.27,12.91,0.0,0.1393,-0.001243,13940665.45,26378426.26,2.4963,2.2931,240.06,0.10303137904317879,0.9946781061893646
2000-01-07,15.28,10.82,74.72,0.0,99450.56,0.54,334.21,0.0,0.1387,-0.001208,13036386.46,26727517.51,2.4954,2.2872,313.84,0.1201261651823505,0.9927586335250793
2000-01-08,15.17,10.43,73.32,0.0,99375.87,0.35,342.7,0.0,0.138,-0.001233,13466230.39,26845087.54,2.4945,2.2812,318.65,0.13718540405660057,0.9905453876091833
2000-01-09,15.42,10.71,73.51,0.01,99347.52,0.3,317.64,0.0,0.1375,-0.001161,12398551.7,27544797.9,2.4937,2.2753,354.23,0.1542040475626894,0.988039023376751
2000-01-10,15.72,11.15,74.3,0.0,99330.1,0.42,315.17,0.0,0.137,-0.001171,12738186.0,27373782.97,2.4929,2.2693,317.91,0.17117705961019986,0.985240282501282
2000-01-11,16.26,11.59,73.9,0.0,99388.25,0.45,305.61,0.0,0.1363,-0.001336,14398522.12,26854957.64,2.4921,2.2634,289.52,0.18809941761179758,0.9821499931752291
2000-01-12,17.67,13.0,74.1,1.43,99297.71,0.26,295.42,0.0001,0.1395,-0.001462,15482729.18,27978515.58,2.4912,2.2574,231.17,0.20496611396949532,0.9787690698649216
2000-01-13,16.76,13.84,82.88,3.81,99172.17,0.75,301.05,0.0003,0.1723,-0.001679,13306690.0,28466690.03,2.4904,2.2515,196.47,0.22177215755648186,0.975098513039961
2000-01-14,16.8,12.28,74.73,0.05,99125.14,0.99,327.76,0.0001,0.1866,-0.001689,13733475.81,27055314.53,2.4895,2.2455,330.16,0.23851257519407648,0.9711394088771653
2000-01-15,16.51,9.73,64.23,0.0,99283.79,0.87,334.15,0.0,0.1801,-0.001866,16297675.43,24958142.66,2.4888,2.2395,269.74,0.2551824131233728,0.9668929289391521
2000-01-16,15.27,6.67,56.48,0.0,99519.61,1.1,359.87,0.0,0.1736,-0.001853,16107878.14,24273877.59,2.4891,2.2417,313.23,0.2717767384711357,0.9623603298276545
2000-01-17,13.64,7.54,66.64,0.0,99580.72,0.71,20.89,0.0,0.1682,-0.00159,16434595.99,24289614.54,2.4895,2.2443,320.85,0.2882906407095177,0.9575429528116719
2000-01-18,13.53,8.96,73.86,0.0,99573.56,0.06,26.99,0.0,0.1638,-0.001453,15868287.71,25399167.95,2.4899,2.2468,290.02,0.3047192331091634,0.9524422234305676
2000-01-19,15.53,10.35,71.24,0.0,99139.18,0.35,339.13,0.0,0.1598,-0.001549,15863877.98,26099502.89,2.4904,2.2494,327.65,0.321057654185271,0.9470596510722283
2000-01-20,16.26,11.65,74.2,0.29,98964.69,0.39,65.59,0.0,0.1587,-0.000986,10560662.86,29338216.67,2.4909,2.252,351.09,0.3373010691361842,0.9413968285264122
2000-01-21,15.99,10.9,71.79,0.07,99507.72,0.47,193.38,0.0,0.1578,-0.000873,8668310.45,28543507.25,2.4913,2.2544,430.82,0.3534446712740877,0.9354554315134164
2000-01-22,15.63,10.38,70.94,0.0,99462.66,0.6,268.01,0.0,0.1554,-0.001174,11554106.19,27501380.55,2.4917,2.257,413.18,0.3694836834473831,0.9292372181882051
2000-01-23,15.59,11.7,77.7,2.11,99461.3,0.82,281.82,0.0002,0.1628,-0.00104,10281793.78,29055394.19,2.4921,2.2596,317.96,0.38541335945432564,0.9227440286201427
2000-01-24,15.8,11.65,76.4,0.65,99707.22,0.54,292.59,0.0001,0.1774,-0.001328,10531672.69,28420183.18,2.4925,2.262,381.19,0.4012289854475009,0.9159777842484877
2000-01-25,16.73,10.34,65.97,0.0,99866.0,0.48,298.39,0.0,0.1745,-0.001416,12727457.1,27661380.98,2.493,2.2646,390.07,0.4169258813287287,0.908940487313808
2000-01-26,16.86,10.82,67.58,0.0,99780.52,0.6,311.02,0.0,0.1689,-0.001758,16404196.58,26759349.98,2.4934,2.2672,383.08,0.4324994021339788,0.901634220265486
2000-01-27,16.29,11.3,72.32,0.26,99602.46,0.77,317.32,0.0,0.1647,-0.001607,15371962.52,26768707.44,2.4939,2.2697,352.24,0.44794493940789115,0.8940611451454876
2000-01-28,16.79,10.95,68.45,6.49,99406.63,0.92,347.95,0.0002,0.1861,-0.001716,15790864.13,27213550.68,2.4943,2.2723,360.06,0.4632579225674917,0.88622350294858
2000-01-29,15.72,10.94,73.22,0.03,99426.09,0.58,339.6,0.0001,0.2342,-0.001592,12754761.61,27027602.75,2.4948,2.2749,395.11,0.4784338202547012,0.8781236129591848
2000-01-30,16.52,11.25,71.03,0.03,99705.67,0.34,219.16,0.0,0.2218,-0.001437,12483727.97,28218881.69,2.4951,2.2774,448.36,0.49346814167723735,0.8697638720650646
2000-01-31,15.81,10.31,69.84,0.02,99732.91,0.85,231.92,0.0,0.2124,-0.001304,10751334.7,27847608.07,2.4956,2.2799,512.11,0.5083564379375122,0.8611467540480452
2000-02-01,15.74,11.39,75.38,5.8,99445.52,1.2,234.47,0.0002,0.2259,-0.001575,12802670.61,28203939.8,2.496,2.2824,430.99,0.5230943033491326,0.8522748088519838
2000-02-02,16.32,12.48,78.0,1.01,99559.16,0.46,192.72,0.0002,0.264,-0.001871,13423416.4,28639007.35,2.4965,2.285,335.29,0.5376773767406141,0.8431506618282
2000-02-03,16.01,11.59,75.09,0.08,99594.52,0.57,339.51,0.0001,0.2498,-0.001607,12966995.85,27342989.66,2.4968,2.2875,386.05,0.5521013427459208,0.8337770129585915
2000-02-04,16.52,11.17,70.68,0.01,99355.8,0.3,290.67,0.0,0.2354,-0.00171,14472609.84,27239127.09,2.4974,2.29,395.78,0.5663619330814524,0.8241566360566663
2000-02-05,15.74,12.01,78.5,4.65,99296.26,1.03,237.15,0.0002,0.2381,-0.001511,11605126.02,29289617.27,2.4977,2.2926,299.29,0.580454927809098,0.8142923779467267
2000-02-06,16.0,12.54,79.95,1.09,99354.19,0.6,274.18,0.0002,0.2695,-0.001765,12951116.48,28164160.74,2.4982,2.2952,292.66,0.5943761565849831,0.804187157621448
2000-02-07,16.35,12.39,77.39,0.76,99301.12,0.67,328.38,0.0001,0.2601,-0.001817,13844053.73,27427137.58,2.4986,2.2976,343.51,0.6081214998935418,0.7938439653781019
2000-02-08,16.22,11.44,73.3,0.14,99284.79,0.65,353.39,0.0,0.247,-0.001702,14107626.71,27407516.51,2.4991,2.3003,366.71,0.6216868902665479,0.7832658619336791
2000-02-09,16.23,10.68,69.67,0.26,99249.13,0.73,358.48,0.0,0.2352,-0.001934,15418907.98,27127291.95,2.4994,2.3028,414.04,0.6350683134867438,0.7724559775191742
2000-02-10,16.25,10.52,68.82,0.02,99366.58,0.18,304.15,0.0,0.2244,-0.001683,14254346.43,26882721.79,2.4999,2.3053,406.89,0.6482618097757122,0.7614175109532997
2000-02-11,16.04,10.47,69.54,1.38,99309.15,0.7,203.75,0.0001,0.2173,-0.001976,16273402.01,27562498.72,2.5003,2.3079,363.17,0.6612634749656386,0.7501537286959042
2000-02-12,17.19,11.88,70.95,0.27,99414.73,0.47,307.25,0.0001,0.2188,-0.002063,15237250.64,27855160.32,2.5008,2.3105,395.58,0.6740694616546161,0.7386679638813748
2000-02-13,17.57,11.39,67.06,0.03,99412.3,0.82,13.02,0.0,0.209,-0.002162,17419483.25,27031367.87,2.5012,2.313,466.45,0.6866759803451553,0.726963615332308
2000-02-14,16.17,10.8,70.48,0.04,99457.32,1.11,30.62,0.0,0.1992,-0.002024,17944885.33,26149414.95,2.5017,2.3155,414.72,0.6990793005655562,0.7150441465537444
