date,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos
2000-01-01,9.14,4.71,73.84,0.26,84042.63,0.25,314.35,0.0,0.2571,-0.001251,13104971.33,24650187.23,1.9724,2.8362,295.16,0.017201575418260506,0.9998520419557735
2000-01-02,9.77,4.33,68.9,0.23,83999.53,0.3,331.5,0.0,0.254,-0.001359,13750186.4,24533654.18,1.9706,2.8356,255.59,0.03439806061360801,0.9994082116062598
2000-01-03,9.71,4.81,71.52,0.04,83822.3,0.33,347.07,0.0,0.2501,-0.001246,13001826.8,24562939.15,1.9687,2.8349,296.55,0.051584366869408364,0.9986686402879997
2000-01-04,9.64,4.15,68.63,0.03,83874.72,0.41,10.16,0.0,0.2457,-0.001418,15010442.78,23707065.97,1.9669,2.8343,279.85,0.06875540848113941,0.9976335468520451
2000-01-05,9.7,4.59,70.51,0.03,83829.81,0.53,21.45,0.0,0.2415,-0.0014,15224318.87,23799658.38,1.965,2.8337,247.16,0.08590610426133272,0.9963032375991965
2000-01-06,9.04,6.51,84.18,0.72,83713.89,0.45,32.0,0.0001,0.2423,-0.001211,14445086.02,24571706.81,1.9631,2.833,245.61,0.10303137904317879,0.9946781061893646
2000-01-07,8.98,4.27,72.34,0.04,83773.42,0.36,21.42,0.0,0.2414,-0.001367,14469289.0,24446555.04,1.9613,2.8324,289.37,0.1201261651823505,0.9927586335250793
2000-01-08,8.32,4.3,75.81,0.09,83692.0,0.53,40.52,0.0,0.2393,-0.000946,10059050.5,26070573.89,1.9594,2.8317,227.99,0.13718540405660057,0.9905453876091833
2000-01-09,8.36,4.72,77.87,0.08,83666.2,0.62,43.26,0.0,0.2373,-0.00104,11462164.56,25672392.9,1.9577,2.8311,274.73,0.1542040475626894,0.988039023376751
2000-01-10,9.09,5.4,77.69,0.0,83691.47,0.53,22.82,0.0,0.2343,-0.001231,14446235.35,24376294.73,1.9558,2.8304,287.86,0.17117705961019986,0.985240282501282
2000-01-11,10.06,5.39,72.75,0.0,83803.91,0.49,8.36,0.0,0.2308,-0.001316,14377943.75,24207772.29,1.9539,2.8298,272.48,0.18809941761179758,0.9821499931752291
2000-01-12,11.66,6.77,71.93,0.16,83788.54,0.62,20.9,0.0,0.2271,-0.001466,16025253.53,25726518.08,1.9521,2.8292,269.11,0.20496611396949532,0.9787690698649216
2000-01-13,10.11,5.95,75.37,1.25,83642.92,0.35,343.2,0.0001,0.2323,-0.001361,12077466.98,26373594.94,1.9503,2.8285,208.36,0.22177215755648186,0.975098513039961
2000-01-14,9.1,4.1,70.94,1.27,83568.13,0.42,331.25,0.0,0.2418,-0.001519,13942233.95,24283009.81,1.9484,2.8279,349.63,0.23851257519407648,0.9711394088771653
2000-01-15,9.89,2.02,58.05,0.03,83705.91,0.47,22.92,0.0,0.239,-0.001601,16535643.93,23109921.36,1.9466,2.8273,427.21,0.2551824131233728,0.9668929289391521
2000-01-16,9.11,1.18,57.6,0.05,83825.69,0.71,350.12,0.0,0.2331,-0.001473,16208492.63,22589294.73,1.9488,2.8279,386.61,0.2717767384711357,0.9623603298276545
2000-01-17,8.91,1.75,60.85,0.0,83834.14,0.67,0.31,0.0,0.2276,-0.001485,16870519.92,22269620.26,1.9512,2.8286,329.57,0.2882906407095177,0.9575429528116719
2000-01-18,9.33,4.3,70.82,0.0,83850.55,0.55,48.4,0.0,0.2231,-0.001359,16420026.1,23369528.89,1.9536,2.8293,228.36,0.3047192331091634,0.9524422234305676
2000-01-19,9.4,4.95,73.77,0.09,83531.87,0.46,58.96,0.0,0.2199,-0.001186,14048140.69,24549374.33,1.956,2.83,280.98,0.321057654185271,0.9470596510722283
2000-01-20,8.56,5.24,79.61,0.42,83331.19,0.93,76.56,0.0,0.2189,-0.000981,11183365.63,27693528.94,1.9585,2.8307,374.43,0.3373010691361842,0.9413968285264122
2000-01-21,7.78,5.64,86.33,1.52,83790.64,0.89,77.48,0.0002,0.2294,-0.000696,3920610.54,29226770.93,1.961,2.8314,231.4,0.3534446712740877,0.9354554315134164
2000-01-22,7.53,4.7,82.29,4.25,83781.52,0.26,56.93,0.0002,0.2563,-0.001314,11323059.76,25776462.36,1.9633,2.832,345.47,0.3694836834473831,0.9292372181882051
2000-01-23,7.52,4.06,78.7,1.36,83767.37,0.34,23.25,0.0001,0.2702,-0.001422,12427627.88,26388375.45,1.9658,2.8327,291.49,0.38541335945432564,0.9227440286201427
2000-01-24,7.77,4.18,78.03,0.64,83983.35,0.56,34.58,0.0001,0.2662,-0.001072,9034634.9,27112973.5,1.9681,2.8334,390.45,0.4012289854475009,0.9159777842484877
2000-01-25,8.26,4.27,75.97,0.38,84137.24,0.71,34.13,0.0,0.2604,-0.001296,12871263.12,24851706.56,1.9706,2.8341,287.78,0.4169258813287287,0.908940487313808
2000-01-26,9.13,4.14,70.95,0.08,84112.27,0.64,355.5,0.0,0.2518,-0.001485,16500336.99,23597892.0,1.9731,2.8347,347.47,0.4324994021339788,0.901634220265486
2000-01-27,8.35,1.07,60.13,0.76,83971.15,0.63,328.02,0.0,0.2484,-0.001607,16385989.57,22873175.46,1.9754,2.8354,450.39,0.44794493940789115,0.8940611451454876
2000-01-28,7.82,1.17,62.81,1.77,83751.33,0.36,356.58,0.0001,0.2493,-0.001542,15832077.08,23750586.67,1.9779,2.8362,410.61,0.4632579225674917,0.88622350294858
2000-01-29,7.31,3.66,77.62,1.41,83724.31,0.31,15.04,0.0002,0.2571,-0.001474,14314084.25,25044491.15,1.9803,2.8368,355.2,0.4784338202547012,0.8781236129591848
2000-01-30,8.44,5.01,79.02,0.11,84003.35,0.54,60.15,0.0001,0.2549,-0.001396,13884189.17,26159086.85,1.9828,2.8375,371.7,0.49346814167723735,0.8697638720650646
2000-01-31,8.33,4.66,77.73,0.43,84045.88,0.65,90.52,0.0,0.2524,-0.000823,7536329.59,27848463.59,1.9852,2.8382,296.19,0.5083564379375122,0.8611467540480452
2000-02-01,7.8,4.95,82.18,20.12,83820.66,0.46,153.13,0.0003,0.3203,-0.001348,11715280.99,26557710.42,1.9876,2.8388,248.4,0.5230943033491326,0.8522748088519838
2000-02-02,7.59,5.04,83.84,3.35,83828.73,0.41,20.81,0.0001,0.3723,-0.001727,14746518.37,25874412.38,1.99,2.8395,391.9,0.5376773767406141,0.8431506618282
2000-02-03,8.54,3.65,71.38,0.01,83878.07,0.62,357.22,0.0,0.3407,-0.001913,17665321.0,23309033.05,1.9924,2.8402,364.82,0.5521013427459208,0.8337770129585915
2000-02-04,8.86,4.65,74.87,0.0,83720.66,0.54,29.44,0.0,0.3244,-0.001727,16856405.89,23862822.12,1.9948,2.8409,361.62,0.5663619330814524,0.8241566360566663
2000-02-05,7.87,5.03,82.2,11.26,83691.88,0.41,209.97,0.0003,0.354,-0.0012,8258843.13,27048185.16,1.9972,2.8416,154.06,0.580454927809098,0.8142923779467267
2000-02-06,8.2,5.52,83.24,6.29,83707.37,0.37,60.14,0.0002,0.3909,-0.001837,12814249.21,26427207.33,1.9997,2.8423,316.08,0.5943761565849831,0.804187157621448
2000-02-07,7.5,3.49,75.74,0.78,83647.34,0.43,352.73,0.0001,0.3648,-0.001874,15263367.69,24906515.88,2.0021,2.8429,333.91,0.6081214998935418,0.7938439653781019
2000-02-08,7.96,4.65,79.61,0.57,83601.36,0.65,25.99,0.0001,0.3517,-0.00155,13440938.32,25969819.97,2.0045,2.8436,354.92,0.6216868902665479,0.7832658619336791
2000-02-09,8.06,4.18,76.53,0.46,83568.11,0.67,359.77,0.0001,0.3403,-0.001942,17432842.34,24791002.56,2.0069,2.8442,401.12,0.6350683134867438,0.7724559775191742
2000-02-10,8.31,4.13,74.96,0.09,83690.56,0.65,33.6,0.0,0.3296,-0.001855,17125095.97,24250829.55,2.0093,2.845,386.35,0.6482618097757122,0.7614175109532997
2000-02-11,9.17,4.63,73.26,5.8,83688.16,0.49,61.91,0.0001,0.3323,-0.001908,16647549.49,26478085.23,2.0118,2.8456,382.34,0.6612634749656386,0.7501537286959042
2000-02-12,8.74,5.07,77.76,1.51,83792.34,0.38,35.93,0.0002,0.3585,-0.001338,9235755.21,26160790.32,2.0142,2.8463,309.5,0.6740694616546161,0.7386679638813748
2000-02-13,9.55,5.77,77.28,0.77,83777.71,0.76,44.48,0.0001,0.3429,-0.001793,15917443.1,25677151.27,2.0166,2.847,390.23,0.6866759803451553,0.726963615332308
2000-02-14,9.24,3.76,68.6,0.05,83766.38,0.54,36.74,0.0001,0.3325,-0.002029,16351906.25,24208808.95,2.0191,2.8477,357.96,0.6990793005655562,0.7150441465537444
2000-02-15,10.34,4.95,69.28,0.01,83770.8,0.72,29.67,0.0,0.3194,-0.002221,20116643.38,24335973.65,2.0215,2.8484,354.65,0.7112757519738152,0.7029130847082615
2000-02-16,10.42,5.82,73.17,1.04,83665.02,0.66,62.87,0.0001,0.3117,-0.002001,17105762.67,25927841.9,2.0223,2.8487,396.09,0.7232617254437388,0.6905740195722293
2000-02-17,8.64,3.73,71.28,5.7,83460.62,0.4,67.01,0.0003,0.337,-0.002111,15480732.48,25640760.25,2.0229,2.849,347.13,0.7350336741329413,0.6780306024735382
2000-02-18,8.11,1.91,64.98,1.47,83509.27,0.45,20.92,0.0001,0.346,-0.002219,17688681.26,24304019.03,2.0235,2.8494,482.17,0.746588114532413,0.6652865452111116
2000-02-19,8.26,-2.34,47.2,0.2,83527.58,0.62,358.31,0.0,0.3308,-0.002183,18840623.87,22237326.09,2.0242,2.8497,636.15,0.7579216274973472,0.6523456189565257
2000-02-20,8.2,-3.53,43.4,0.43,83566.46,0.55,350.06,0.0,0.3186,-0.002257,20090573.37,21549975.71,2.0249,2.8501,648.07,0.7690308592589181,0.6392116531380588
2000-02-21,9.08,-1.71,46.77,0.05,83749.79,0.7,347.79,0.0,0.3075,-0.002169,19703329.95,22486560.74,2.0256,2.8503,597.81,0.7799125224167177,0.6258885343075018
2000-02-22,9.5,-0.67,49.08,0.01,83800.81,0.9,329.85,0.0,0.2966,-0.002259,20451345.57,22747962.32,2.0262,2.8507,542.73,0.7905633969115482,0.612380204990065
2000-02-23,10.08,-1.61,44.06,0.0,83752.99,0.57,359.13,0.0,0.2864,-0.002393,21468954.65,22039589.63,2.0268,2.851,468.0,0.8009803309782905,0.5986906625177214
2000-02-24,10.26,0.62,51.21,0.0,83677.8,0.69,23.33,0.0,0.2771,-0.002329,21633246.81,22748068.55,2.0275,2.8513,497.5,0.8111602420785621,0.5848239578463322
2000-02-25,9.38,2.24,61.03,1.31,83503.83,0.73,53.6,0.0,0.2777,-0.002195,20590722.8,23577290.53,2.0282,2.8517,512.9,0.8211001178128892,0.5707841943569036
2000-02-26,8.03,0.55,59.24,0.68,83455.15,0.5,47.17,0.0,0.2775,-0.002007,19001858.12,23522408.59,2.0288,2.852,550.72,0.8307970168121247,0.5565755266413303
2000-02-27,7.83,1.71,65.24,0.74,83580.0,0.25,357.57,0.0001,0.2739,-0.001733,16383372.8,25181164.75,2.0295,2.8523,458.91,0.8402480696078469,0.5422021592729844
2000-02-28,7.01,2.75,74.31,1.49,83715.08,0.28,244.49,0.0001,0.2779,-0.001592,13300087.17,25814170.96,2.0301,2.8527,423.83,0.8494504794814806,0.527668345562516
2000-02-29,8.7,2.99,67.38,0.54,83688.87,0.22,222.9,0.0001,0.2759,-0.001611,14886183.64,26717844.65,2.0308,2.853,421.64,0.8584015232918917,0.512978386299228
2000-03-01,8.11,4.61,78.56,3.15,83516.67,0.37,220.18,0.0002,0.29,-0.001375,8479981.7,28361131.21,2.0315,2.8534,253.33,0.8670985522812081,0.4981366284784055
2000-03-02,8.75,4.76,76.01,4.6,83452.09,0.49,303.06,0.0002,0.3125,-0.001978,14894266.38,26214244.28,2.0321,2.8536,336.85,0.8755389928586302,0.4831474640149687
2000-03-03,10.04,3.04,61.77,0.02,83543.52,0.61,311.13,0.0,0.3071,-0.002111,17190566.71,25427769.52,2.0328,2.854,583.44,0.8837203473619977,0.4680153284438345
2000-03-04,12.22,1.54,48.06,0.0,83700.47,0.57,330.71,0.0,0.2894,-0.002584,22299759.45,23921826.85,2.0334,2.8543,556.95,0.8916401947968874,0.45274469960737107
2000-03-05,11.54,2.19,52.65,0.69,83627.4,0.79,299.55,0.0,0.2804,-0.002295,19488629.67,24535606.89,2.0341,2.8547,552.46,0.8992961915530253,0.4373400963303323
2000-03-06,13.07,3.97,53.97,0.08,83635.22,0.55,4.53,0.0,0.2704,-0.002434,21032093.21,25056974.77,2.0347,2.855,561.04,0.9066860720977985,0.4218060770826634
2000-03-07,13.04,3.05,50.7,0.41,83688.7,0.51,331.64,0.0,0.2606,-0.002628,22371950.9,24903704.63,2.0354,2.8553,589.89,0.9138076496466615,0.4061472386305789
2000-03-08,12.33,0.66,44.8,0.49,83370.02,0.44,16.61,0.0,0.2545,-0.002372,19695523.42,25219826.28,2.0361,2.8556,931.2,0.9206588168102428,0.3903682146763026
2000-03-09,11.47,1.26,49.49,0.12,83245.13,0.52,359.91,0.0,0.2471,-0.002185,19594041.8,25533856.89,2.0367,2.856,788.69,0.9272375462179537,0.374473674486883
2000-03-10,11.07,3.4,59.19,0.38,83384.54,0.09,336.01,0.0,0.2416,-0.001859,17265912.34,26361067.51,2.0374,2.8563,540.95,0.9335418911179212,0.35846832151248087
2000-03-11,11.4,4.66,63.28,1.43,83490.97,0.39,287.65,0.0001,0.2442,-0.002158,19576808.68,25569047.29,2.038,2.8567,532.94,0.9395699859530622,0.342356891994542
2000-03-12,11.79,3.49,56.8,3.28,83373.83,0.32,304.14,0.0001,0.2523,-0.002359,20205401.56,26113965.94,2.0387,2.8569,539.97,0.945320046913132,0.3261441535642696
