date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.4753002561682622,650.1792974315381,777.9893966767453,935.800214969526,963.7768023211726,1320.3198545475825,2038.6621390722803,2261.191717196602,2367.6591086960098,2339.1385497452657,2393.57864702802,1765.747942957348,1240.910319948697,411.1606477850853,1180.4311080908444,2.850343034250277e-05,0.0008344304926297,0.0442135727296552,0.0001587440955903,0.1179234860364564,0.8018541639022484,15.12,9.62,69.69,0.0,100046.22,0.8,284.94,0.0,0.1478,-0.001198,16378768.0,26406742.0,0.0,1.4821,211.52,0.3047192331091634,0.9524422234305676,birgunj
2026-01-19,0.704682194058694,645.1793667206804,757.6598251864973,952.9028726865904,974.4721211384386,1315.6237961629936,2034.8340180869852,2254.149091500614,2361.953217258327,2322.6843932759966,2384.891892409784,1771.693293416497,1198.0575328563689,428.2993463921335,1417.0652699792108,2.665731664474165e-05,0.0003031876403838,0.0445528764109421,0.0001258491400073,0.1180987391421203,0.1119718855316037,16.32,11.57,73.48,0.0,100049.99,1.36,329.83,0.0,0.1471,-0.001165,16204144.0,27306778.0,0.0,1.4949,234.38,0.321057654185271,0.9470596510722284,birgunj
2026-01-20,0.8538761179272844,624.5367084768938,754.0962628670526,946.7113042092828,972.54286910409,1342.2009976192546,2057.047633806817,2241.267456512177,2302.1803941871813,2341.3290117179,2370.413595235164,1760.4727962985614,1175.014633161014,439.1411925721295,1514.1505629644712,3.2528890508605635e-05,0.0003031876403838,0.0426247621222432,0.000266749652575,0.1215980537422592,-0.3764693648235666,16.77,12.38,75.29,0.0,100198.45,1.22,348.03,0.0,0.1465,-0.001139,16226468.0,27329304.0,0.0,1.5078,221.83,0.3373010691361842,0.9413968285264122,birgunj
2026-01-21,1.3533371526980482,651.3042514562621,773.3739903195403,948.8268340420268,966.7709576516212,1324.8402504170945,2066.7379436659858,2267.3619075802635,2344.212355322412,2361.8327177754904,2392.408026540498,1762.1914831005026,1196.301509778575,452.0860170452185,1446.2174201615758,3.970636807751093e-05,0.0003031876403838,0.0405487861486401,0.0002856943652127,0.1205231191479202,-0.1245855467528362,16.62,11.51,71.79,0.0,100307.53,1.27,349.77,0.0,0.1459,-0.001189,16471060.0,27115082.0,0.0,1.5205,283.67,0.3534446712740877,0.9354554315134164,birgunj
2026-01-22,1.049513999370815,683.5128887656446,805.8877021539525,967.3142856522228,1015.810998007946,1334.9470410304343,2053.151867991903,2297.6964713276093,2406.7961717115822,2374.04316672795,2436.826078254514,1740.966335093749,1267.291774294519,448.78679137159753,1327.3927543179952,3.284975760646479e-05,4.5360779994828654e-05,0.0450351335136198,0.0001638793006597,0.120428977269278,0.4612102320794858,15.86,10.58,70.86,0.0,100445.01,0.65,285.56,0.0,0.1453,-0.001198,16437292.0,26873264.0,0.0,1.5333,267.14,0.3694836834473831,0.9292372181882051,birgunj
2026-01-23,0.888983416475664,674.6806017017525,785.8305254008487,948.7470952676392,966.6322373123104,1286.1877335056463,2055.8944428928016,2283.9048129349785,2384.858607474052,2360.779301271381,2430.309252604576,1749.8762431177065,1216.113704583479,455.585492637776,1438.4635472743885,2.9423041469291853e-05,0.0001444349805415,0.0487885151836071,0.0001491204943117,0.1147388255541512,0.9906474399518892,16.32,11.14,71.43,0.0,100593.63,1.05,238.71,0.0,0.1447,-0.001205,16342560.0,27181233.0,0.0,1.5461,253.18,0.3854133594543256,0.9227440286201428,birgunj
2026-01-24,0.7988213621687914,662.5461090155471,802.9490060773304,998.8206701813014,996.19272540751,1330.9614971282303,2052.773618490833,2225.253171449521,2295.2172539667413,2315.6159945327904,2371.931955547744,1768.7490627678849,1196.888608957826,428.0005934572657,1522.994324546794,3.0306345183544435e-05,0.0003031876403838,0.0456299835158293,0.0002249655149227,0.1184983679173598,0.4217744169828397,17.11,12.3,73.33,0.0,100479.45,1.95,341.7,0.0,0.1443,-0.000902,12765164.0,28365873.0,0.0,1.5589,231.3,0.4012289854475009,0.9159777842484876,birgunj
2026-01-25,0.8035581771605771,710.2562385347186,811.6751966974814,990.2409992955396,975.170369200375,1357.680750089078,2074.072556284118,2266.744983493348,2333.263888557689,2361.206856252263,2389.42339514848,1769.4873415579864,1202.205125905267,458.9991403024175,1524.4899029723238,2.5784657806314145e-05,6.726677988638246e-05,0.0441269215094811,0.0001879019157075,0.1258212259947158,0.1433860520626392,17.0,11.87,71.81,0.0,100368.34,2.25,349.82,0.0,0.1439,-0.001145,16384912.0,27146469.0,0.0,1.5716,299.31,0.4169258813287287,0.908940487313808,birgunj
2026-01-26,0.3292992225068536,705.7910331599423,813.421276120439,957.6267117483876,970.7084334165156,1284.2019313081817,2077.881289377296,2303.214868817626,2460.352359596372,2406.163861053141,2462.776825493319,1732.2025876197774,1219.4536041203182,481.5330938122098,1334.1903111303477,2.9273302112954607e-05,0.0002397179050603,0.0385367470236636,5.8208421742601145e-05,0.1217223253129075,-0.3134058355517982,16.29,10.06,66.59,0.0,100544.94,2.05,347.76,0.0,0.1433,-0.001246,17305796.0,26276063.0,0.0,1.5844,313.82,0.4324994021339788,0.901634220265486,birgunj
2026-01-27,0.6427304166104895,716.2625816612762,801.8320489633977,954.8289743554948,1026.6044585050497,1296.063967275905,2072.001186535329,2297.676502851502,2417.8271309234574,2365.264134042101,2447.641270391215,1723.3277167786189,1260.0803935523827,455.2007003170549,1336.909216153863,3.851676570351922e-05,0.0002397179050603,0.0421950783762459,0.0002445590685753,0.1208122020538088,-0.0320239611165607,16.3,10.48,68.43,0.0,100557.33,0.93,303.52,0.0,0.1428,-0.001221,16269124.0,27441526.0,0.0,1.5972,217.67,0.4479449394078911,0.8940611451454876,birgunj
