date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.2287863555158553,789.8605185764225,879.3990296452752,1019.9162640783288,1133.0686955262483,1343.3499012563138,1506.066584792308,1612.9509151193172,1697.5780156353844,1733.2339000282016,1713.082584680053,1968.9856010662857,1738.1377533047696,137.66571096720477,874.309557909113,6.020396099449571e-05,0.0002566774579345,0.034682720888298,0.0002853168294246,0.1144111801028032,0.7123467968468741,10.98,5.47,68.8,0.0,83758.22,0.7,52.14,0.0,0.1624,-0.001266,16692680.0,23830406.0,2.1376,2.8714,226.61,0.3047192331091634,0.9524422234305676,kathmandu
2026-01-19,0.2098792987941045,774.1371607230861,861.7827717609287,1011.2629633300672,1160.8184041943805,1345.392111743953,1503.691264343437,1626.480831438161,1675.123936430289,1720.036937272022,1698.7486522007534,1955.086508690159,1770.7356591785358,162.5142419336407,940.4597360031712,3.523500802969164e-05,0.0001635872894827,0.0298261513861672,0.0001953648142239,0.1188154579914377,0.364949319689921,10.88,6.03,72.01,0.0,83797.19,0.63,9.0,0.0,0.1604,-0.001239,16719868.0,23770144.0,2.1391,2.872,285.15,0.321057654185271,0.9470596510722284,kathmandu
2026-01-20,0.188064336757481,732.6173448185547,839.5852554853661,999.7918661818654,1167.633924276088,1345.3874431736645,1525.4790038322612,1640.1268669516892,1701.8063876042395,1757.6664899709876,1731.1111812562538,1969.78898361242,1784.537109444953,162.4562862821182,934.255389617209,4.004764430820717e-05,0.000170272213775,0.0285567165112512,7.70243561766766e-05,0.1200591662810244,0.3340147908760196,10.63,3.29,60.47,0.01,83922.2,0.8,4.42,0.0,0.1584,-0.001301,16648372.0,23552472.0,2.1407,2.8727,407.28,0.3373010691361842,0.9413968285264122,kathmandu
2026-01-21,0.189908195623046,778.0223127223499,838.2662925091664,983.3909295246438,1141.6335972493555,1319.6062272973834,1513.9905901756954,1588.583771426094,1673.4174405836752,1686.8472731660245,1679.2790972186428,1955.6162876741464,1700.1030203450496,130.90060335332026,473.5885146552039,8.523694160175378e-05,0.0001090689810804,0.0342610446795741,0.000281558767941,0.1202633907988844,0.4246694080293862,10.28,4.84,68.97,0.0,83969.48,0.68,36.06,0.0,0.1565,-0.001246,16866528.0,23567810.0,2.1423,2.8733,295.23,0.3534446712740877,0.9354554315134164,kathmandu
2026-01-22,0.2318689816882536,824.9784789538325,916.5409752692048,1088.640259544991,1227.5157128898234,1431.4064413182134,1593.8215205641889,1686.4405380890742,1780.402002098592,1816.0883475851183,1784.846500737381,2107.51003977513,1861.107058016628,155.10042264271024,954.93468254249,4.995620740137221e-05,0.00025752650142,0.0301026302669604,0.0001065691312088,0.1199425398427941,0.165194495805542,10.11,6.58,78.67,0.01,84071.26,0.68,73.59,0.0,0.1552,-0.001085,15093640.0,25187576.0,2.1437,2.8739,271.49,0.3694836834473831,0.9292372181882051,kathmandu
2026-01-23,0.3824753380491795,864.8861019207619,934.2959737657694,1080.7773177938695,1219.029831038637,1386.973593777909,1594.0123402680267,1703.6766770255297,1743.3342337412005,1838.8190113450469,1820.6357935616995,2066.065057423071,1821.4433707145545,173.97507777632322,999.2573131997652,5.089405520891809e-05,7.612238870549261e-05,0.0345266018105289,0.0001387082110105,0.1149570398510796,0.5859430475936306,9.99,6.29,77.79,0.73,84263.42,0.37,86.73,0.0001,0.1572,-0.000888,11394320.0,27122713.0,2.1453,2.8746,236.38,0.3854133594543256,0.9227440286201428,kathmandu
2026-01-24,0.3641298825427339,829.2261532011229,907.962837632981,1063.9343819841908,1207.575399486156,1360.8476498166096,1585.2217111099044,1686.927274094833,1749.9443814507372,1813.5062968683835,1798.0657047363236,2030.702382434596,1781.912621636049,159.64743922123515,930.998056543305,4.908273626789165e-05,0.0003520432235225,0.0431348122656345,0.0001312055087643,0.1193719148436481,0.4746227184087203,10.53,5.35,70.34,0.05,84186.74,0.57,345.04,0.0001,0.1612,-0.000946,10918008.0,25443437.0,2.1468,2.8752,238.75,0.4012289854475009,0.9159777842484876,kathmandu
2026-01-25,0.2826710816777042,831.7998465299027,905.4316808356884,1049.3408150201362,1202.1606913432586,1369.989975668777,1546.9371651678125,1658.4729332763427,1719.535528056014,1789.5896761962022,1768.2401025654704,2025.3021070792931,1815.47873453474,171.67432022682814,897.255699214218,5.136824468566488e-05,0.0001710221793333,0.0354821440751308,0.0002683201349863,0.1270238434240217,0.3644856286440183,10.4,4.67,67.63,0.0,84033.71,0.57,25.68,0.0,0.1595,-0.001183,15957724.0,23897917.0,2.1484,2.8758,322.08,0.4169258813287287,0.908940487313808,kathmandu
2026-01-26,0.207479924073247,758.7900016697582,882.5869466974168,1010.2882731038868,1152.7266244146044,1323.9634652652137,1498.3266368613372,1602.4799090751542,1656.0079348813374,1680.9338869400865,1681.1779746559998,1950.612024040577,1775.1826024815705,187.4694383223486,611.9243838961191,7.053725686638658e-05,0.0004826435418639,0.0297122678430351,0.0002636681900306,0.1181200980455207,0.4706458375007538,10.39,4.25,65.73,0.0,84176.9,0.48,25.17,0.0,0.1567,-0.001308,17558400.0,23482231.0,2.15,2.8764,289.68,0.4324994021339788,0.901634220265486,kathmandu
2026-01-27,0.164259950066089,845.2065026211212,909.4311955378048,1063.5120291145438,1191.3503093773616,1410.0894804371792,1584.5623722705652,1696.699427126821,1791.6171661104222,1842.5215000232572,1826.323635203786,2160.5082379706428,1860.313739183274,163.0181974316968,963.27940431006,9.513009311059132e-05,0.0005452261421506,0.035805717457531,0.0002550270323504,0.1183854551029574,0.2307912936367398,11.58,5.5,66.26,0.0,84225.33,0.76,63.3,0.0,0.154,-0.001299,17171076.0,24864696.0,2.1514,2.877,244.74,0.4479449394078911,0.8940611451454876,kathmandu
2026-01-28,0.4085,917.100630098028,944.9203920995864,1093.6280502962056,1221.27536919428,1444.523751768597,1624.4096298021009,1723.9324169221184,1797.1128507599467,1887.0104460097791,1921.14674305493,2149.1458367947625,1844.7305979356292,207.44171640611765,1058.320639056812,5.840863567367642e-05,0.0005231643630007,0.0350209847092628,0.0002134010393459,0.1198365393304951,-0.6001380579228782,9.56,6.05,78.78,4.22,84130.26,0.16,319.6,0.0001,0.1859,-0.001161,8944600.0,26190967.0,2.153,2.8778,140.89,0.4632579225674917,0.88622350294858,kathmandu
2026-01-29,0.3781177626876341,1000.4118681796872,1089.0906454112126,1123.044586645021,1191.676423507301,1335.6072105751523,1483.570126359244,1564.3521343818388,1578.3465913666523,1600.960265698276,1603.302637016135,1664.9669552089788,1492.1368612389438,163.91196976179577,910.60305875781,4.570862729325423e-05,5.01802830243866e-05,0.0286851722190723,0.0001130066646087,0.1253093290745616,0.2979646160899539,9.95,4.6,69.36,0.08,84038.11,0.56,2.06,0.0,0.1927,-0.001535,16835124.0,24290560.0,2.1546,2.8784,399.45,0.4784338202547012,0.8781236129591848,kathmandu
2026-01-30,0.1702879857079052,822.481744933817,906.9536055238268,1043.9421434947146,1193.8225147503713,1399.060998697067,1598.3683898509914,1692.3334910945623,1785.4099520881132,1840.4132814686704,1830.824346507208,2057.114910731388,1787.983807188425,267.8114449559946,1024.7503258568934,3.529068648130301e-05,2.065515494386455e-05,0.0332774146257669,0.0001488448510672,0.1239096747775553,0.3516137981407646,10.66,6.49,75.43,0.02,84105.77,0.61,36.2,0.0,0.1851,-0.001454,17585728.0,25215101.0,2.1562,2.879,280.24,0.4934681416772373,0.8697638720650646,kathmandu
2026-01-31,0.2414780174197122,812.4000656582515,1825.0,1919.5,1949.6666666666667,1794.6666666666667,1723.3333333333333,1713.6666666666667,1990.5,1608.0,1854.296816653068,1780.3333333333333,1631.0,295.6666666666667,836.0,8.503930693627537e-05,0.0005164971922403,0.03784054890275,0.0002541286057659,0.1271401507708308,-0.483504349436831,10.89,6.88,76.26,0.01,84183.42,0.72,47.13,0.0,0.1786,-0.001348,14945444.0,25906128.0,2.1577,2.8796,245.42,0.5083564379375122,0.8611467540480452,kathmandu
2026-02-01,0.2555334077713264,849.4410100520116,923.0655396836356,1070.380234370237,1236.2686905596763,1441.460893413374,1596.7571221708406,1702.3520308993393,1752.5262346269867,1824.4202441945104,1819.6517566109476,2138.3146628166533,1835.926167836178,234.694702534527,1103.9738078959788,8.725070973353082e-05,0.000216238036627,0.0350405330837997,0.0002976259378531,0.129301986945072,0.1914670008301028,11.02,7.45,78.6,0.03,84203.44,0.64,50.72,0.0,0.1727,-0.001424,16988520.0,26155799.0,2.1592,2.8802,295.09,0.5230943033491326,0.8522748088519838,kathmandu
2026-02-02,0.4056694647725643,860.8176449467388,935.0949489617552,1082.4549813121137,1216.532253977669,1438.9287980413883,1595.4904335344122,1693.312652463252,1752.755899138987,1803.1340011093464,1792.5100422561063,2127.2778205641425,1836.1718989868289,231.77198385477612,1075.2632177471748,9.410851220500056e-05,0.0003476230073662,0.0403296537697315,0.0002063366772997,0.1312578413168556,-0.3157193101349859,12.13,8.03,76.07,0.11,84169.63,0.76,49.34,0.0,0.1673,-0.001512,17410536.0,26851150.0,2.1607,2.8808,336.79,0.5376773767406141,0.8431506618282,kathmandu
2026-02-03,0.274399151406878,678.696496374928,742.6442407610582,892.7683182823804,1035.6178374778383,1205.368000185224,1407.9572973368086,1476.9746442230112,1538.6666903838295,1578.01769614847,1580.7855653760882,1826.2938803810948,1584.5937563340449,192.17386404022068,775.689830821201,2.7177258535110608e-05,0.0002848732556845,0.0294664917362103,0.0002343779723279,0.1280632122144898,0.0467318876477868,10.99,6.71,74.93,3.23,84318.52,0.37,57.58,0.0002,0.1814,-0.00134,13165200.0,27173750.0,2.1623,2.8814,298.62,0.5521013427459208,0.8337770129585915,kathmandu
2026-02-04,0.3501932624113475,773.4475654345673,884.1076620404228,1024.2660620337683,1179.797671787196,1384.3331591495107,1582.4739798696614,1677.8073319779105,1745.2829182268697,1791.2205723666834,1789.1722815955084,2051.478694475253,1809.1729794138544,200.1069734319146,1023.3680304599644,2.513833061085372e-05,4.242292312577893e-05,0.0331530031860141,0.0001243868547632,0.1235342076418887,0.1397043003744207,11.04,5.43,68.36,0.07,84151.52,0.75,13.48,0.0001,0.1925,-0.001748,17299108.0,24376880.0,2.1638,2.8822,401.21,0.5663619330814524,0.8241566360566663,kathmandu
2026-02-05,0.182757748995087,758.3491297411528,830.7466430287382,959.5454077104496,1118.8546298292215,1304.8375954729477,1502.2449805297686,1611.2896626335696,1663.6171301950517,1698.2431216618156,1696.164488106714,1970.707446003377,1760.351995246847,173.42631126275307,607.7475834511981,5.278426793431432e-05,0.0001586319188501,0.0330500039415453,7.542874894646653e-05,0.118354233311088,0.513282588686284,11.17,5.25,66.91,0.0,84087.41,0.72,14.73,0.0,0.1836,-0.001622,18675244.0,23801176.0,2.1653,2.8828,347.3,0.580454927809098,0.8142923779467267,kathmandu
2026-02-06,0.2862212371594461,752.4289023645634,855.4213949914964,1010.183395756068,1160.9883443976355,1375.2382704123404,1580.1546531617084,1690.1404156617543,1743.5138802006952,1805.4377712380608,1793.921455711652,2061.3184623489824,1772.2335591800893,226.02434525561097,1115.8647540604472,6.733498349401419e-05,0.0003725938468897,0.0345564224548405,0.0002933798846319,0.1253238072532051,0.0166289506702082,10.4,6.09,74.69,0.01,83989.66,0.69,39.02,0.0,0.1762,-0.001421,16782988.0,25208696.0,2.1669,2.8834,301.74,0.5943761565849831,0.804187157621448,kathmandu
2026-02-07,0.4323407489803485,760.6745320620761,863.2705847282524,1015.3594223574348,1159.6383546905624,1400.553605152198,1575.9728041521414,1690.5968010891015,1753.6702710209554,1801.684709653908,1790.092665150173,2075.576555551449,1791.8045313983955,230.00453238195524,1141.5738556606657,6.46582033890243e-05,0.000159480029739,0.0347021448329603,0.0001265815221587,0.1240789279933151,-0.614380188615431,10.54,7.34,80.59,0.12,83823.31,0.83,46.09,0.0,0.171,-0.001259,15120788.0,27511432.0,2.1685,2.884,336.51,0.6081214998935418,0.7938439653781019,kathmandu
