date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.1936756424835115,604.5918188362928,739.2686405508234,895.7799974622934,940.32464781334,1269.5324297855395,1556.9073762636476,1914.7917924721428,1966.4466159610656,1957.745709694861,2270.3168024101537,1824.1636390479457,1334.4657650861482,252.4750591662867,849.5922668684336,1.9270862536916992e-05,8.458417795594721e-05,0.0319528327458232,0.0002327751961328,0.1132992583129361,0.8692949115664482,11.4,5.62,67.6,0.0,90354.64,0.73,286.41,0.0,0.3596,-0.001852,16724116.0,21063528.0,2.4642,1.9876,145.79,0.3047192331091634,0.9524422234305676,pokhara
2026-01-19,0.2224487804878049,680.1602551820123,768.039767397157,908.1281543909922,960.9012595390284,1245.8014685173032,1588.133377151858,1945.587105412088,2010.7308520725144,1946.3985076652948,2263.138852028466,1815.950593086219,1363.481713518472,277.862347352158,1045.395351078805,2.083264912409673e-05,0.0006695427582599,0.0358221419627532,0.0002553305354732,0.121316477395631,0.3167378630543923,13.61,8.25,70.05,0.89,90369.65,0.32,303.42,0.0001,0.3551,-0.001834,16810592.0,21971300.0,2.4644,1.9905,195.39,0.321057654185271,0.9470596510722284,pokhara
2026-01-20,0.236249631845375,670.1911266186969,757.2757614894621,894.2926767550896,932.3444864043412,1246.10747746486,1588.614818285817,1947.325704798748,2033.48253341924,1959.0880551442365,2257.132851835254,1756.3981402974532,1356.975820906552,282.9773987707021,1091.588809215364,3.109578287530059e-05,0.0001063535823603,0.0334233645679276,0.0001945924086681,0.1200865516677803,-0.0125715402048959,13.83,8.89,72.1,5.53,90484.9,0.34,287.01,0.0003,0.3818,-0.001487,13626040.0,22682590.0,2.4646,1.9932,129.12,0.3373010691361842,0.9413968285264122,pokhara
2026-01-21,0.2338555980215827,679.9100123614696,775.4712254011449,913.9891989453416,957.4328048478566,1271.4991565535731,1589.5411869952409,1961.9447361215623,2037.6742075585296,2003.343392248541,2265.571713139016,1841.7517802099744,1380.9782936939368,271.93926642350146,1096.5277734884546,2.881546397912408e-05,0.0006531184772029,0.0317620954229241,3.82063522643484e-06,0.1228236351870551,0.0783943102991895,14.07,8.89,71.01,0.86,90539.53,0.02,339.95,0.0002,0.3744,-0.00171,15825552.0,22772988.0,2.4647,1.996,165.87,0.3534446712740877,0.9354554315134164,pokhara
2026-01-22,0.2884100750511713,707.2528024616377,803.2045738732581,961.8954608120548,1027.9806273177142,1324.95557932551,1617.317745634523,1958.4669290301936,2025.948931214578,1999.8141345491404,2235.280771082024,1905.3641614706464,1469.6705697182892,278.59092532000085,1064.4879866535648,3.139148888990302e-05,0.0001714150948035,0.0331256053227041,0.0001055459594957,0.11534625936904,-0.3704214331210481,14.03,9.25,72.94,0.96,90636.6,0.09,41.19,0.0001,0.3699,-0.001489,14421096.0,22926122.0,2.4648,1.9988,145.41,0.3694836834473831,0.9292372181882051,pokhara
2026-01-23,0.3304301703975943,697.7192921355717,791.6708955539556,921.1469918690448,990.2977744002906,1285.1891954207294,1576.543870781658,1951.2787675244929,2023.740950141515,2026.709993470523,2282.296715286342,1864.8709062736057,1417.092858156867,273.943864837951,984.3003920749028,2.086005597111074e-05,0.0006531184772029,0.0363400876604789,0.000214515833805,0.1153983466901256,0.8562156708570262,12.43,7.07,69.83,0.67,90867.05,0.51,286.97,0.0001,0.3639,-0.001715,15778124.0,23445607.0,2.4651,2.0016,177.08,0.3854133594543256,0.9227440286201428,pokhara
2026-01-24,0.4510537898465173,266.3376022615325,356.1108352193871,529.9290550460222,628.6081662472603,885.5492743913641,1569.386052969971,1832.3670870118035,2044.574321613356,2093.9005687446192,961.9776501991356,1873.8683945121008,1320.2008597804984,710.7887609128197,260.8396437866003,2.409066800027229e-05,0.0006920129015004,0.0360373104314395,0.0001025020573871,0.1254782386659689,0.7213373424220302,12.47,6.17,65.48,0.78,90808.7,0.78,280.45,0.0002,0.3616,-0.00129,11335352.0,23380383.0,2.4652,2.0044,164.58,0.4012289854475009,0.9159777842484876,pokhara
2026-01-25,0.3292545454545454,724.5316707457015,807.4270595430183,935.7316767594762,1017.4022898892738,1299.754853031406,1570.0923847443764,1967.035184996628,1986.2274661198112,1987.6863755828867,2278.447707261443,1825.4994553016872,1424.0659448068882,271.51522524996767,921.8379137748642,2.4165404276157168e-05,0.0002051206927952,0.0377238849639713,7.23401050055995e-05,0.130275410022479,-0.0735588482250404,11.04,5.75,69.87,1.03,90656.26,0.76,280.47,0.0002,0.3598,-0.00132,12257512.0,21846681.0,2.4654,2.0072,140.35,0.4169258813287287,0.908940487313808,pokhara
2026-01-26,0.2997733887256703,703.4324932091274,803.502932046118,942.106883556346,1014.9917354474017,1291.735819550213,1568.0650435296975,1955.9716442296756,2005.6160325942585,1966.9605990504629,2301.784545769689,1869.2835668872692,1380.4991895316657,280.0088930752828,916.8317317255968,2.098796978351837e-05,0.0004121990932617,0.0323572153421533,0.0001629917403446,0.1150628794699954,0.0922923230361967,12.28,6.07,65.83,0.0,90782.4,0.49,282.51,0.0001,0.3562,-0.00202,17319776.0,21343565.0,2.4656,2.01,179.08,0.4324994021339788,0.901634220265486,pokhara
2026-01-27,0.3059565117349287,762.8169875805763,814.7112830501015,962.2320451129444,1041.3547664301918,1309.0795162713855,1594.185099809706,2034.682867716624,2048.381606739875,2030.641182606312,2304.78419917715,1943.3856979487412,1457.7187944746854,288.25227915917526,1054.296479033716,2.939463423188333e-05,0.0004108611610718,0.0345623110760456,0.0003240839628601,0.1159449222489608,-0.0536735541760047,14.25,7.76,64.98,2.37,90812.12,0.29,286.1,0.0001,0.3491,-0.002031,17412828.0,23689904.0,2.4657,2.0127,170.15,0.4479449394078911,0.8940611451454876,pokhara
