date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site,pm2.5
2026-01-20,0.8723361047898031,624.519868508419,754.1396880116505,945.9358070853492,972.7571552533274,1342.625735988472,2057.2272632668382,2241.527917443782,2302.365351770073,2341.4684240004785,2370.2820421910005,1759.0586385200363,1174.0644292303175,437.6567119896512,1513.1633338670222,3.365602470266986e-05,0.0003162523755199,0.0427288128641796,0.000284134940825,0.12160415,-0.36749935,16.77,12.38,75.29,0.0,100198.45,1.22,348.03,0.0,0.1465,-0.001139,16226468.0,27329304.0,0.0,1.5078,221.83,0.3373010691361842,0.9413968285264122,birgunj,121.09431185688744
2026-01-21,1.3571368307814111,651.420217512932,772.4971356795553,948.923865798939,966.714456917114,1325.4444981484974,2066.937610423887,2267.4226274888924,2345.0371738677304,2361.329821470586,2392.715408079968,1761.0285385659165,1196.56032385736,452.828821558036,1446.2865542165002,4.026154465856008e-05,0.0003162523755199,0.0404881095500561,0.0002942523176749,0.1206126,-0.09996087,16.62,11.51,71.79,0.0,100307.53,1.27,349.77,0.0,0.1459,-0.001189,16471060.0,27115082.0,0.0,1.5205,283.67,0.3534446712740877,0.9354554315134164,birgunj,140.84762205568254
2026-01-22,1.0107684549274167,683.6944253384454,805.6386947391289,967.2300183160764,1014.8285836414676,1334.6579886385043,2053.49047099516,2298.093075739937,2406.556784927706,2373.2612359809045,2436.5583004810405,1740.7897135975809,1267.7233354561558,447.35414174338086,1327.7726075194744,3.399794241707644e-05,0.0001342120374245,0.045178751235611,0.000169830909668,0.12030201,0.4682427,15.86,10.58,70.86,0.0,100445.01,0.65,285.56,0.0,0.1453,-0.001198,16437292.0,26873264.0,0.0,1.5333,267.14,0.3694836834473831,0.9292372181882051,birgunj,150.78960973530027
2026-01-23,0.8901992531924721,675.2505750887187,786.6258792491499,948.6901982016248,966.714456917114,1285.6527591380452,2056.796701147068,2283.774875317997,2384.405241617029,2361.1323603999303,2430.0776002542348,1750.2416131074824,1216.3175826937963,455.8982054039574,1436.7870824350116,2.955686274032029e-05,0.0002430439187984,0.0491601856929517,0.0001582873260358,0.1148902,0.9850965,16.32,11.14,71.43,0.0,100593.63,1.05,238.71,0.0,0.1447,-0.001205,16342560.0,27181233.0,0.0,1.5461,253.18,0.3854133594543256,0.9227440286201428,birgunj,153.126904887337
2026-01-24,0.8028781383993809,663.0872218259076,803.5215636637553,998.6833816673344,996.0857251541,1331.3410691170095,2053.450034934594,2225.2794636881304,2295.660449211196,2316.687862698996,2371.389481282678,1769.790107724863,1197.1917239464517,427.1711164544528,1520.412407219959,3.106885887278919e-05,0.0003162523755199,0.045452018424641,0.000234433970533,0.11851086,0.4531857,17.11,12.3,73.33,0.0,100479.45,1.95,341.7,0.0,0.1443,-0.000902,12765164.0,28365873.0,0.0,1.5589,231.3,0.4012289854475009,0.9159777842484876,birgunj,139.6774166705022
2026-01-25,0.8022959401820641,709.5574014368442,811.8757417847976,990.1847366735672,974.1402109514512,1357.4949398737058,2075.266186440092,2267.142133423081,2332.8079843237856,2361.1323603999303,2389.114388544104,1770.3473457853463,1201.9172508032589,459.46085102723634,1527.5054464891543,2.6655200822483312e-05,0.0001898706035946,0.0441341758063909,0.0001891053709023,0.12574333,0.22011103,17.0,11.87,71.81,0.0,100368.34,2.25,349.82,0.0,0.1439,-0.001145,16384912.0,27146469.0,0.0,1.5716,299.31,0.4169258813287287,0.908940487313808,birgunj,151.52857904238166
2026-01-26,0.3353965262457344,706.4855776283035,813.2373394729482,957.7355536116908,970.9638263999828,1283.959671142357,2077.2978423683862,2303.165371655686,2460.528500464904,2407.374100443684,2462.2208838109764,1733.7954805571062,1219.2227960880666,480.9749938008229,1338.0639077430196,2.928768744353737e-05,0.0002795916964155,0.0385063527431658,7.42364567510803e-05,0.121751614,-0.26582587,16.29,10.06,66.59,0.0,100544.94,2.05,347.76,0.0,0.1433,-0.001246,17305796.0,26276063.0,0.0,1.5844,313.82,0.4324994021339788,0.901634220265486,birgunj,107.53711464741552
2026-01-27,0.6387397917920342,716.3211518326464,801.2660698328235,955.0169825329724,1026.6888467710164,1295.628535630938,2071.261456284886,2298.093075739937,2417.8516352198367,2363.95017426662,2447.809307489271,1723.9258072310822,1260.5717753822942,455.7441238054163,1339.1154267304894,3.909145416400998e-05,0.0002795916964155,0.0424033894083295,0.0002621382017389,0.120690584,-0.018950742,16.3,10.48,68.43,0.0,100557.33,0.93,303.52,0.0,0.1428,-0.001221,16269124.0,27441526.0,0.0,1.5972,217.67,0.4479449394078911,0.8940611451454876,birgunj,150.90351542112398
2026-01-28,0.7042128390748389,744.5351156422893,830.9749631819429,1027.901682496995,1048.2373826611558,1330.704709129517,2068.060136407664,2245.709889660209,2350.4710123058107,2334.8421752378144,2398.707835809236,1734.6659109846416,1272.71313119235,453.13346539161074,1527.7061097997876,2.406847212468096e-05,0.0002795916964155,0.0377324561200935,0.0002060583903945,0.1206126,0.4682427,17.12,12.21,72.86,0.22,100413.96,1.26,322.87,0.0,0.1438,-0.000892,11765392.0,28864659.0,0.0,1.6101,228.36,0.4632579225674917,0.88622350294858,birgunj,137.4325142792061
2026-01-29,0.4249238055858048,443.8090861378803,621.5407533069579,866.6315061525254,777.8204828127786,1217.4432567769309,2062.352460034249,2313.6551693465053,2374.2360231413577,2410.347456278548,2441.4213838454853,1845.734909153288,1330.9151836477547,387.4830807181284,1654.5921052085605,2.306074063771156e-05,0.0002795916964155,0.0342980057462046,0.0002298190359463,0.12574333,0.38676134,17.41,12.27,71.81,0.0,100390.94,2.78,357.62,0.0,0.1436,-0.001193,17279632.0,27405092.0,0.0,1.6229,390.05,0.4784338202547012,0.8781236129591848,birgunj,113.21481243122516
2026-01-30,0.8251529226429162,698.7717033512869,824.4473613302027,1010.1653346939388,1027.5722990476977,1337.1408144875654,2091.077431520292,2298.093075739937,2417.962873819304,2360.1668976435303,2449.6296296787004,1744.750841763161,1226.060138379328,524.2243634695674,1532.7118227727017,3.217271405028929e-05,0.0002795916964155,0.046375533343189,0.0001995017161101,0.121751614,0.7197035,16.03,12.45,79.34,0.01,100531.52,1.75,355.51,0.0,0.1432,-0.000942,15167148.0,28046319.0,0.0,1.6357,296.9,0.4934681416772373,0.8697638720650646,birgunj,130.02993164769256
