date,aod550,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,no2,so2,co,hcho,o3,ai,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2000-01-01,,,,,,,,,,,,,,,,,,,,,,15.51,10.06,69.99,0.0,100472.5,1.34,313.56,0.0,0.146,-0.001009,14744605.97,26790328.25,0.0,1.3808,301.72,0.0172015754182605,0.9998520419557736,birgunj
2000-01-02,,,,,,,,,,,,,,,,,,,,,,16.07,10.64,70.2,0.0,100373.84,1.77,336.6,0.0,0.1455,-0.001009,15008855.21,26721703.47,0.0,1.3857,252.76,0.034398060613608,0.9994082116062598,birgunj
2000-01-03,,,,,,,,,,,,,,,,,,,,,,15.86,11.36,74.61,0.0,100201.07,2.06,348.06,0.0,0.1452,-0.000905,15095446.66,26758918.85,0.0,1.3905,253.4,0.0515843668694083,0.9986686402879996,birgunj
2000-01-04,,,,,,,,,,,,,,,,,,,,,,15.49,11.4,76.61,0.0,100306.63,1.82,345.76,0.0,0.1449,-0.000884,15094301.08,26880007.09,0.0,1.3953,255.29,0.0687554084811394,0.9976335468520452,birgunj
2000-01-05,,,,,,,,,,,,,,,,,,,,,,15.54,10.87,73.76,0.0,100287.71,2.18,354.54,0.0,0.1446,-0.000897,14980670.74,27063530.6,0.0,1.4002,275.47,0.0859061042613327,0.9963032375991964,birgunj
2000-01-06,,,,,,,,,,,,,,,,,,,,,,14.78,9.95,72.79,0.0,100215.29,2.09,358.98,0.0,0.1443,-0.00084,14771806.7,26819637.32,0.0,1.405,302.32,0.1030313790431787,0.9946781061893646,birgunj
2000-01-07,,,,,,,,,,,,,,,,,,,,,,14.76,10.24,74.38,0.0,100270.73,1.79,349.58,0.0,0.144,-0.000858,14860337.31,26685952.04,0.0,1.4098,286.93,0.1201261651823505,0.9927586335250792,birgunj
2000-01-08,,,,,,,,,,,,,,,,,,,,,,14.91,9.89,71.9,0.0,100201.84,1.12,345.71,0.0,0.1438,-0.000867,14459137.77,27167735.18,0.0,1.4147,291.13,0.1371854040566005,0.9905453876091832,birgunj
2000-01-09,,,,,,,,,,,,,,,,,,,,,,15.52,10.46,71.84,0.0,100164.82,0.51,334.72,0.0,0.1435,-0.000882,13991450.6,28002820.8,0.0,1.4194,320.18,0.1542040475626894,0.988039023376751,birgunj
2000-01-10,,,,,,,,,,,,,,,,,,,,,,15.99,11.32,73.81,0.0,100132.6,0.7,314.2,0.0,0.1432,-0.00091,14741110.27,27942116.37,0.0,1.4243,267.51,0.1711770596101998,0.985240282501282,birgunj
2000-01-11,,,,,,,,,,,,,,,,,,,,,,16.35,11.51,73.08,0.0,100178.02,0.78,310.22,0.0,0.1429,-0.000976,15208650.03,27410549.97,0.0,1.4291,271.36,0.1880994176117975,0.9821499931752292,birgunj
2000-01-12,,,,,,,,,,,,,,,,,,,,,,17.56,12.98,74.53,0.72,100097.67,0.65,209.03,0.0,0.1435,-0.001003,15625373.8,28681729.46,0.0,1.4339,207.45,0.2049661139694953,0.9787690698649216,birgunj
2000-01-13,,,,,,,,,,,,,,,,,,,,,,17.5,14.15,80.77,1.17,99943.46,1.13,329.33,0.0001,0.1556,-0.001265,12871385.52,29916485.3,0.0,1.4387,213.24,0.2217721575564818,0.975098513039961,birgunj
2000-01-14,,,,,,,,,,,,,,,,,,,,,,17.7,12.94,73.7,0.03,99902.89,2.58,355.25,0.0,0.1567,-0.001064,14450433.0,28214656.52,0.0,1.4436,434.12,0.2385125751940764,0.9711394088771652,birgunj
2000-01-15,,,,,,,,,,,,,,,,,,,,,,16.72,10.6,67.16,0.0,100069.19,2.27,353.39,0.0,0.1549,-0.001161,16265893.57,26255802.54,0.0,1.4484,267.4,0.2551824131233728,0.966892928939152,birgunj
2000-01-16,,,,,,,,,,,,,,,,,,,,,,15.5,5.8,52.41,0.0,100318.3,3.24,353.84,0.0,0.1531,-0.001193,16492013.2,25011115.44,0.0,1.4611,448.44,0.2717767384711357,0.9623603298276544,birgunj
2000-01-17,,,,,,,,,,,,,,,,,,,,,,13.33,6.14,61.78,0.0,100414.56,2.83,9.08,0.0,0.1516,-0.000944,16707086.03,24472655.46,0.0,1.4741,381.54,0.2882906407095177,0.957542952811672,birgunj
2000-01-18,,,,,,,,,,,,,,,,,,,,,,13.69,8.79,72.27,0.0,100405.96,0.49,4.93,0.0,0.1505,-0.000899,16146887.87,26043116.98,0.0,1.4871,267.84,0.3047192331091634,0.9524422234305676,birgunj
