date,aod550,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,no2,so2,co,hcho,o3,ai,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2000-01-01,,,,,,,,,,,,,,,,,,,,,,10.93,6.29,73.02,1.78,89604.55,0.55,280.18,0.0002,0.4105,-0.00141,12999446.4,22441585.57,2.449,2.1151,153.68,0.0172015754182605,0.9998520419557736,pokhara
2000-01-02,,,,,,,,,,,,,,,,,,,,,,10.21,6.12,75.78,0.88,89564.15,0.88,281.89,0.0001,0.401,-0.001477,14042954.98,22641895.02,2.4488,2.1112,138.9,0.034398060613608,0.9994082116062598,pokhara
2000-01-03,,,,,,,,,,,,,,,,,,,,,,11.67,7.46,75.39,1.86,89362.49,0.62,284.02,0.0003,0.3979,-0.001284,12759058.72,22549837.12,2.4484,2.1073,135.87,0.0515843668694083,0.9986686402879996,pokhara
2000-01-04,,,,,,,,,,,,,,,,,,,,,,12.29,6.94,69.85,2.25,89420.78,0.47,295.3,0.0002,0.3988,-0.001398,13015640.99,22480333.62,2.4482,2.1034,121.09,0.0687554084811394,0.9976335468520452,pokhara
2000-01-05,,,,,,,,,,,,,,,,,,,,,,12.43,6.59,67.56,0.09,89385.39,0.31,310.19,0.0001,0.3915,-0.001441,13929175.95,21932041.23,2.4481,2.0994,152.17,0.0859061042613327,0.9963032375991964,pokhara
2000-01-06,,,,,,,,,,,,,,,,,,,,,,11.51,6.83,72.95,1.88,89275.7,0.18,322.63,0.0002,0.3902,-0.001498,14127790.72,22038302.07,2.4478,2.0955,161.43,0.1030313790431787,0.9946781061893646,pokhara
2000-01-07,,,,,,,,,,,,,,,,,,,,,,11.18,7.67,79.02,7.55,89320.76,0.2,38.35,0.0003,0.4079,-0.001336,11760881.76,23981553.51,2.4476,2.0916,126.86,0.1201261651823505,0.9927586335250792,pokhara
2000-01-08,,,,,,,,,,,,,,,,,,,,,,10.74,8.41,85.5,9.47,89236.17,0.47,70.36,0.0004,0.4195,-0.001303,10049805.59,25774727.78,2.4473,2.0877,112.02,0.1371854040566005,0.9905453876091832,pokhara
2000-01-09,,,,,,,,,,,,,,,,,,,,,,10.95,8.1,82.58,6.06,89216.19,0.36,79.76,0.0003,0.4201,-0.001097,9228038.91,25491821.86,2.4471,2.0838,107.61,0.1542040475626894,0.988039023376751,pokhara
2000-01-10,,,,,,,,,,,,,,,,,,,,,,11.98,7.83,75.74,3.91,89235.48,0.09,333.22,0.0003,0.4142,-0.001303,12033526.38,23870410.94,2.4469,2.0799,144.35,0.1711770596101998,0.985240282501282,pokhara
2000-01-11,,,,,,,,,,,,,,,,,,,,,,12.06,6.78,70.13,0.04,89349.4,0.43,278.89,0.0001,0.4058,-0.001266,12161507.61,22829825.72,2.4466,2.0759,157.54,0.1880994176117975,0.9821499931752292,pokhara
2000-01-12,,,,,,,,,,,,,,,,,,,,,,12.93,6.56,65.26,2.02,89321.07,0.47,286.16,0.0001,0.3988,-0.00149,13635369.87,23844687.76,2.4464,2.072,133.6,0.2049661139694953,0.9787690698649216,pokhara
2000-01-13,,,,,,,,,,,,,,,,,,,,,,11.35,5.96,69.48,1.9,89184.39,0.65,288.49,0.0003,0.402,-0.001002,8315966.51,24531626.99,2.4462,2.0681,123.39,0.2217721575564818,0.975098513039961,pokhara
2000-01-14,,,,,,,,,,,,,,,,,,,,,,8.3,4.16,75.19,2.54,89154.84,1.13,288.61,0.0002,0.402,-0.001603,14258627.43,21210559.22,2.446,2.0642,183.27,0.2385125751940764,0.9711394088771652,pokhara
2000-01-15,,,,,,,,,,,,,,,,,,,,,,9.64,3.72,66.61,0.57,89293.67,0.87,282.7,0.0001,0.3955,-0.001821,14608785.41,21438722.54,2.4457,2.0602,221.88,0.2551824131233728,0.966892928939152,pokhara
2000-01-16,,,,,,,,,,,,,,,,,,,,,,8.92,2.26,63.0,0.11,89434.26,0.72,284.17,0.0,0.3856,-0.001863,16159167.12,20101487.59,2.4459,2.0624,216.82,0.2717767384711357,0.9623603298276544,pokhara
2000-01-17,,,,,,,,,,,,,,,,,,,,,,10.82,4.52,65.1,0.0,89410.16,0.18,282.44,0.0,0.3783,-0.001829,16687775.85,20568447.58,2.446,2.0648,243.79,0.2882906407095177,0.957542952811672,pokhara
2000-01-18,,,,,,,,,,,,,,,,,,,,,,12.05,5.71,65.19,0.0,89389.97,0.11,71.36,0.0,0.3723,-0.001721,16425094.92,21563409.98,2.4461,2.0671,135.79,0.3047192331091634,0.9524422234305676,pokhara
2000-01-19,,,,,,,,,,,,,,,,,,,,,,12.23,7.24,71.55,2.43,89048.32,0.43,41.95,0.0001,0.3719,-0.001539,14867486.72,24149190.69,2.4462,2.0696,181.27,0.321057654185271,0.9470596510722284,pokhara
2000-01-20,,,,,,,,,,,,,,,,,,,,,,10.58,9.04,90.17,13.81,88863.49,0.26,79.79,0.0004,0.4124,-0.000882,8475687.01,25930029.68,2.4464,2.0719,107.79,0.3373010691361842,0.9413968285264122,pokhara
2000-01-21,,,,,,,,,,,,,,,,,,,,,,9.48,7.8,89.29,22.1,89369.93,0.12,301.29,0.0004,0.4271,-0.00088,7944330.06,25154223.03,2.4465,2.0743,151.43,0.3534446712740877,0.9354554315134164,pokhara
2000-01-22,,,,,,,,,,,,,,,,,,,,,,9.94,7.12,82.6,17.09,89361.8,0.16,290.19,0.0004,0.4268,-0.000986,9537613.92,24321018.71,2.4466,2.0767,138.08,0.3694836834473831,0.9292372181882051,pokhara
2000-01-23,,,,,,,,,,,,,,,,,,,,,,10.12,8.3,88.44,21.31,89329.16,0.3,56.81,0.0004,0.4277,-0.000732,8144025.46,25497345.84,2.4468,2.079,140.74,0.3854133594543256,0.9227440286201428,pokhara
2000-01-24,,,,,,,,,,,,,,,,,,,,,,10.37,8.75,89.69,17.03,89554.18,0.33,68.47,0.0004,0.4275,-0.000891,8137395.87,25940098.97,2.4469,2.0814,128.01,0.4012289854475009,0.9159777842484876,pokhara
2000-01-25,,,,,,,,,,,,,,,,,,,,,,9.26,6.66,83.79,5.37,89746.57,0.45,266.27,0.0003,0.4223,-0.001273,11379413.57,23155427.37,2.4471,2.0838,138.3,0.4169258813287287,0.908940487313808,pokhara
2000-01-26,,,,,,,,,,,,,,,,,,,,,,8.73,4.6,75.28,1.1,89726.26,0.98,277.72,0.0002,0.4093,-0.001784,15844093.22,21320215.21,2.4473,2.0862,177.98,0.4324994021339788,0.901634220265486,pokhara
2000-01-27,,,,,,,,,,,,,,,,,,,,,,8.62,2.95,67.51,1.11,89580.43,1.01,269.8,0.0002,0.4014,-0.001957,16280363.09,20733987.54,2.4474,2.0885,246.83,0.4479449394078911,0.8940611451454876,pokhara
2000-01-28,,,,,,,,,,,,,,,,,,,,,,8.35,3.09,69.46,8.53,89358.41,0.95,266.73,0.0003,0.4086,-0.00194,16240417.23,20794891.56,2.4476,2.0909,225.99,0.4632579225674917,0.88622350294858,pokhara
2000-01-29,,,,,,,,,,,,,,,,,,,,,,8.22,4.41,76.93,13.78,89333.09,0.61,273.47,0.0004,0.4239,-0.001609,13732747.4,21086449.25,2.4477,2.0933,133.73,0.4784338202547012,0.8781236129591848,pokhara
2000-01-30,,,,,,,,,,,,,,,,,,,,,,10.32,6.98,79.76,2.87,89578.13,0.11,100.33,0.0002,0.4107,-0.001594,15837334.12,22898782.32,2.4478,2.0957,162.95,0.4934681416772373,0.8697638720650646,pokhara
2000-01-31,,,,,,,,,,,,,,,,,,,,,,9.08,6.84,85.85,9.45,89628.21,0.43,300.62,0.0003,0.4235,-0.001208,9959954.66,24395155.37,2.4479,2.098,104.42,0.5083564379375122,0.8611467540480452,pokhara
2000-02-01,,,,,,,,,,,,,,,,,,,,,,9.26,6.88,85.04,19.85,89384.92,0.26,304.28,0.0004,0.4249,-0.000478,6709270.51,24756679.83,2.4481,2.1005,131.63,0.5230943033491326,0.8522748088519838,pokhara
2000-02-02,,,,,,,,,,,,,,,,,,,,,,11.23,7.19,76.17,6.7,89413.13,0.4,23.94,0.0003,0.4241,-0.001624,14504525.68,23869705.6,2.4482,2.1029,212.45,0.5376773767406141,0.8431506618282,pokhara
2000-02-03,,,,,,,,,,,,,,,,,,,,,,10.39,6.14,74.93,4.01,89464.95,0.42,324.83,0.0003,0.4186,-0.001504,13948296.18,22666447.93,2.4483,2.1052,192.92,0.5521013427459208,0.8337770129585915,pokhara
2000-02-04,,,,,,,,,,,,,,,,,,,,,,9.18,5.89,79.9,1.44,89308.35,0.76,284.22,0.0002,0.4132,-0.001534,13845577.33,23270684.31,2.4485,2.1076,157.49,0.5663619330814524,0.8241566360566663,pokhara
2000-02-05,,,,,,,,,,,,,,,,,,,,,,10.33,7.04,80.02,16.95,89246.67,0.49,301.79,0.0003,0.4223,-0.000595,5848592.37,26397760.73,2.4486,2.11,89.62,0.580454927809098,0.8142923779467267,pokhara
2000-02-06,,,,,,,,,,,,,,,,,,,,,,9.47,5.7,77.33,5.61,89289.09,0.58,270.11,0.0002,0.42,-0.00105,9546545.85,23446142.81,2.4487,2.1124,143.03,0.5943761565849831,0.804187157621448,pokhara
2000-02-07,,,,,,,,,,,,,,,,,,,,,,8.35,4.69,77.73,8.14,89228.62,0.63,274.54,0.0003,0.4194,-0.001744,15326361.78,21746985.24,2.4489,2.1148,203.01,0.6081214998935418,0.7938439653781019,pokhara
2000-02-08,,,,,,,,,,,,,,,,,,,,,,7.66,4.97,83.05,8.15,89204.72,0.72,280.49,0.0004,0.423,-0.001513,12932462.54,22499054.27,2.449,2.1172,111.28,0.6216868902665479,0.7832658619336791,pokhara
2000-02-09,,,,,,,,,,,,,,,,,,,,,,9.65,5.37,74.63,4.84,89143.77,0.42,315.26,0.0003,0.4176,-0.001789,15789982.99,22506138.61,2.4493,2.1195,200.23,0.6350683134867438,0.7724559775191742,pokhara
2000-02-10,,,,,,,,,,,,,,,,,,,,,,9.76,5.85,76.63,5.84,89261.87,0.44,287.82,0.0003,0.421,-0.001336,11781618.81,23132728.67,2.4494,2.1219,100.75,0.6482618097757122,0.7614175109532997,pokhara
2000-02-11,,,,,,,,,,,,,,,,,,,,,,10.52,7.08,79.26,9.35,89250.9,0.32,310.24,0.0004,0.4226,-0.000794,8300987.37,25031475.28,2.4495,2.1243,91.8,0.6612634749656386,0.7501537286959042,pokhara
2000-02-12,,,,,,,,,,,,,,,,,,,,,,10.75,5.66,70.81,1.61,89356.95,0.36,277.48,0.0002,0.4174,-0.001654,13253039.0,23097352.98,2.4497,2.1267,164.66,0.6740694616546161,0.7386679638813748,pokhara
2000-02-13,,,,,,,,,,,,,,,,,,,,,,10.96,6.19,72.38,1.39,89340.89,0.39,238.69,0.0001,0.4079,-0.001909,16092748.01,22772450.44,2.4498,2.129,205.93,0.6866759803451553,0.726963615332308,pokhara
2000-02-14,,,,,,,,,,,,,,,,,,,,,,9.12,3.36,67.21,0.05,89367.34,0.61,262.69,0.0,0.3962,-0.002348,18462397.63,20570676.38,2.4499,2.1314,279.7,0.6990793005655562,0.7150441465537444,pokhara
2000-02-15,,,,,,,,,,,,,,,,,,,,,,11.85,5.72,66.09,0.0,89326.99,0.47,220.59,0.0,0.387,-0.00223,18549110.4,22536636.04,2.45,2.1338,213.45,0.7112757519738152,0.7029130847082615,pokhara
